tweets,
" Niagara Health System: Registered Nurse - Complex Care ( #OntarioJobs, ON) http://t.co/1CD50v4GPD #Nursing #nhscareers #Job #Jobs",can'tsay
" Newest #PersonCenteredHealthCare column: improve #PatientExperience by improving care, via @nicolaziady - http://t.co/spt80rmygX",can'tsay
 New article http://t.co/eRs2gHFEQt #thyroid #health,can'tsay
 Never have I struggled with a 2 lb weight #physicaltherapy,can'tsay
 Never count yourself out because other people will. ~ Deborah via #MentalHealth Talk http://t.co/c5p9IO25GF,can'tsay
 Neutrophil elastase activity in BAL fluid is a good diagostic tool in cystic fibrosis #medicine #6ebeya1982 #??,can'tsay
 neurontin #Pills #pharmacy #health http://t.co/m1JXMlqY4s,can'tsay
 Neuroendoscopy - Minimally Invasive Treatment: UCLA Neurosurgery http://t.co/l4jp3vD3Y4 #UCLA #neurosurgery,can'tsay
 Natural Disaster Response http://t.co/WgJpMnnqy6 #pharmacy #health,can'tsay
 My time will come #patient,can'tsay
 My men at Fridays doctors appt!!!! #my #men #love #baby #boy #24wks #ultrasound @fatboi0819 @Tay_G85 http://t.co/mSJAXI8EuD,can'tsay
 My last Friday as a #CassTech #Senior we out here! #2013 http://t.co/sK35Akt8FY,can'tsay
 My girls!!! @Hannah5r @BekahSwaim #sleepover #seniors #lazy http://t.co/9iQXVGI4yW,can'tsay
 My doctor is so much cooler  then yours :) #orthopedic #surgeon  #check #up #love #him http://t.co/6x6da9R18S,can'tsay
" My CEO Diary is out http://t.co/pKILqKNllg - compassionate care, @DyingMatters #psc2013, integrated care #nhs #nhssm @heartofengland",can'tsay
 My aunt in the ultrasound room finding out the gender of my cousin and its a GIRL!! #baby #ultrasound #yay ... https://t.co/E8MR9An8iP,can'tsay
 MT @tannusquatre: Exclnt @StepAndSpine #PhysicalTherapy Press Write-Up via @VantageClinical http://t.co/8ozHAjzC8I #HappyFeet,can'tsay
 More sterling necklaces! #shopsmall #boutique #sterlingsilver #fashion #pinkjewels #senior… http://t.co/JLIrLgHJEG,can'tsay
 More sterling necklaces! #shopsmall #boutique #sterlingsilver #fashion #pinkjewels #senior #sweetsixteen #bow... http://t.co/MpDjosxLVn,can'tsay
 Moms: Jogging with a Stroller? Here is How to Prevent Aches and Pains? http://t.co/il37eM18VA #PhysicalTherapy #PelvicMafia #NewMOms,can'tsay
 Missouri Legislative News | Citizens Commission on Human Rights of St. Louis http://t.co/7OqXmqbSbb #cchr #psychiatry,can'tsay
 Miam #Nutrition http://t.co/xwJUy3kufY,can'tsay
 Me&amp; @Bite_My_Naya Bouta Have 231 On Smash #Seniors ????,can'tsay
 me and my bitches to old and to classy for the bs ... #seniors #2014 ..,can'tsay
 Maybe I can get a border collie for free #NHS MT @DiscoverMag: Effect of petting a dog on immune system http://t.co/HtIAm89chd @srslyscience,can'tsay
" Matthew my #son #baby #mamasboy #love #spoiled missing #teeth matthew_hitman @ Grand-parents House http://t.co/mO5l7lUlPe place <tweepy.models.Place object at 0x01D743D0> coordinates {u'type': u'Point', u'coordinates': [-121.86799393, 37.40729006]}",can'tsay
 Maryland Gastroenterologist for Digestive Problems http://t.co/oDKBGWN6uw via @GagayMedStudent #Health #Medicine,can'tsay
 Maryland Gastroenterologist for Digestive Problems http://t.co/LqWXTHhVLt #Health #Medicine,can'tsay
 Maryland Gastroenterologist for Digestive Problems http://t.co/guUeb2NUuP #Health #Medicine,can'tsay
 MAP: State Demonstration Proposals to Integrate Care &amp; Financing for Dual Eligible Beneficiaries http://t.co/snN4qGBoSM #medicaid #medicare,can'tsay
 manforce #Pills #pharmacy #health http://t.co/IdslwjAGxU,can'tsay
 Main hall was complete madness at 2:05 #seniors,can'tsay
" Madness, Heresy, and the Rumor of Angels:   The Revolt Against the Mental Health System #psychiatry  http://t.co/0M9J1BZ3jc",can'tsay
 Macy its more powerful than UW PURP #medical,can'tsay
 Lowell Green discussing cuts to physio on @CFRAOttawa right now. RT and call in to support awareness! #onpoli #seniors,can'tsay
 Low back pain?  Try these simple stretches. #BestInRehab #PhysicalTherapy http://t.co/JlmjH2Z5wS,can'tsay
 Love the @EminenceOrganic Age Corrective Night collection w/ #argan #stemcell complex! My skin feels fabulous! http://t.co/MV3Levu6Pm,can'tsay
 Love shopping #therapy,can'tsay
" Love &amp; prayers for 7 y o Keller Surette from #GlaceBay, NS undergoing a #stemcell transplant. http://t.co/8TAqvVEZBU #aRTwouldROCK” #Healing place <tweepy.models.Place object at 0x01D74410> coordinates {u'type': u'Point', u'coordinates': [-75.71238396, 45.35575629]}",can'tsay
" Love &amp; prayers for 7 y o Kellen Surette from #GlaceBay NS undergoing #stemcell transplant http://t.co/8TAqvVEZBU #aRTwouldROCK” #Healing place <tweepy.models.Place object at 0x01D74410> coordinates {u'type': u'Point', u'coordinates': [-75.71261954, 45.35582362]}",can'tsay
" Looking forward to interviewing Beth Ulrich, EdD, RN about safe #nurse work environments #NTI2013 @AACNme",can'tsay
" Locum CT/MRI radiographer  - Bournemouth - MedicsPro Ltd #occupationaltherapy, #physicaltherapy http://t.co/OPSF7fWC6p",can'tsay
" Loaded up on #Pharma again this week, after getting almost out completely a few weeks ago.",can'tsay
 Live advanced endoscopy study day - News Press Release | http://t.co/YWF9u26pqs http://t.co/uGwWX1HGh5 #pharmacy #pharmiweb,can'tsay
 Little peanut #littlepeanut #ultrasound #baby #6weeks #somuchbiggernow http://t.co/TBzZmntJll,can'tsay
" Listen to Gregg Foos, MD  talk about Shoulder Instability  http://t.co/NAQKGtnI6V. #Newjersey #Orthopedic #physicaltherapy",can'tsay
" Listen to Gregg Foos, MD  talk about Shoulder Instability  http://t.co/NAQKGtnI6V  . #Orthopedic  #physicaltherapy  #Newjersey",can'tsay
" Listen to Gregg Foos, MD  talk about Shoulder Instability  http://t.co/NAQKGtnI6V  . #Newjersey   #Orthopedic #physicaltherapy",can'tsay
" Listen to Gregg Foos, MD  talk about Shoulder Instability  http://t.co/NAQKGtnI6V   . #Orthopedic  #physicaltherapy  #Newjersey",can'tsay
" Listen to Gregg Foos, MD  talk about Shoulder Instability  http://t.co/MzeElIrybT . #Newjersey #Orthopedic #physicaltherapy",can'tsay
" Listen to Gregg Foos, MD  talk about Shoulder Instability  http://t.co/MzeElIrybT  . #Orthopedic  #physicaltherapy  #Newjersey",can'tsay
" Listen to Gregg Foos, MD  talk about Shoulder Instability  http://t.co/MzeElIrybT  . #Newjersey   #Orthopedic #physicaltherapy",can'tsay
" Listen to Gregg Foos, MD  talk about Shoulder Instability  http://t.co/MzeElIrybT   . #Orthopedic  #physicaltherapy  #Newjersey",can'tsay
" Listen to Gregg Foos, MD  talk about Shoulder Instability  http://t.co/kzc49LsTGt . #Orthopedic  #physicaltherapy  #Newjersey",can'tsay
" Listen to Gregg Foos, MD  talk about Shoulder Instability  http://t.co/kzc49LsTGt . #Newjersey #Orthopedic #physicaltherapy",can'tsay
" Listen to Gregg Foos, MD  talk about Shoulder Instability  http://t.co/kzc49LsTGt  . #Newjersey   #Orthopedic #physicaltherapy",can'tsay
" Listen to Gregg Foos, MD  talk about Shoulder Instability  http://t.co/kzc49LsTGt   . #Orthopedic  #physicaltherapy  #Newjersey",can'tsay
" Listen to  Gregg Foos, MD  Talk about Shoulder Instability  http://t.co/MzeElIrybT      #Orthopedic  #physicaltherapy  #Newjersey",can'tsay
" Listen to  Gregg Foos, MD  Talk about Shoulder Instability  http://t.co/MzeElIrybT       #Orthopedic  #physicaltherapy  #Newjersey",can'tsay
" Listen to  Gregg Foos, MD  Talk about Shoulder Instability  http://t.co/kzc49LsTGt      #Orthopedic  #physicaltherapy  #Newjersey",can'tsay
" Listen to  Gregg Foos, MD  Talk about Shoulder Instability  http://t.co/kzc49LsTGt       #Orthopedic  #physicaltherapy  #Newjersey",can'tsay
 Lick those teeth #ink #inked #inkedup #tat #tats #tattoo #tattoos #tattooed #teeth #lick http://t.co/xViH4Qs5B3,can'tsay
 Let the beach festivities begin. #3weeks #seniors,can'tsay
 Learn about the ways to improve cardiorespiratory endurance: http://t.co/GLRyIH3MJh #PhysicalTherapy #RespiratoryTherapy,can'tsay
 Learn about the exciting career opportunities with Centra: http://t.co/HClAVVut05 #OTpeeps #OccupationalTherapy,can'tsay
" LBSA banquet with my baby mrallye?? #seniors #lbsa #memories @ Lucca's Pasta Bar http://t.co/NJVjlMgphM place <tweepy.models.Place object at 0x01D743D0> coordinates {u'type': u'Point', u'coordinates': [-117.33048414, 34.17497136]}",can'tsay
 Last in the series on shoulder #PToutcomes. Processes w/i the system important: http://t.co/1HoqFBIiTB,can'tsay
 lasix #Pills #pharmacy #health http://t.co/L1cUDC6Y12,can'tsay
 Largest genetic sequencing study of human disease: http://t.co/K9Zjo55aUq #nurses #nursng #health #diseases #DNA #genes,can'tsay
" Knee pain decreases up to one year after \prolotherapy\"" Find out what it is: http://t.co/MLbb10cSRN #PhysicalTherapy #OTpeeps""",can'tsay
 Kimberly Kane gets fucked and a big facial cumshot: Kimberly Kane Kimberly Kane Facial http://t.co/wKO7RvaZgx #medicine #drugs,can'tsay
" Kids living in a fast paced 'hook up' culture, how does this impact their #mHealth? http://t.co/Ui8U9k9EYr",can'tsay
" Key reading for #CCGs: Consultation open on Monitor guidance for procurement, competition and #patient choice: http://t.co/BmefMuYiWZ",can'tsay
" Just seen my mums arm. Life changing injury because of a lazy, couldnt be bothered nurse. Legal advice would be much appreciated #nhs",can'tsay
" Just hanging out, trying to suck on her kneecap. #baby #girl #belle #cutie #weirdo #ultrasound #23weeks http://t.co/2yPsDLmzqh",can'tsay
 Just had a waxa physio sesh #ultrasound,can'tsay
" Just gone off the stage, and I need your voice! In a couple of minutes, we'll ask you to text F to 868464 #mhealth http://t.co/XPgBl4KxJV",can'tsay
" Jury foreman says life or death decision unfair: In the Jodi Arias trial, the jurors faced a decision... http://t.co/yCV54yaC8B #seniors",can'tsay
" June and July are gonna be a massive couple of months! frequency this week, stone roses the next and 'melt' in July! Praying for sun! #rehab",can'tsay
 Join one of the top #healthcare systems in the southeast: http://t.co/8Ggsy4Jfuc #OTpeeps #OccupationalTherapy,can'tsay
 I've literally have listened to 22 by @taylorswift on repeat for the past 45 minutes. I'm addicted and need help #rehab,can'tsay
 I've been #watching #psych for the past couple of #hours!,can'tsay
 It's official! Dream come true #physicaltherapy #classof2016 http://t.co/mNp7HsveIY,can'tsay
 Is this any good etc?   #nutrition  http://t.co/2lYy7BdZvz,can'tsay
 Is organic really better? http://t.co/SHnSf2kc3w #organic #nonorganic #food #health #nutrition #certifiedorganic #organicfood,can'tsay
 iRobot #spine #surgery #stemcell #osteocell #graft #bone #transplant #ouch #instrumentation http://t.co/DlmXRA2M50,can'tsay
 IRAS (integrated research application system) is slowly killing me &amp; am only doing an #NHS service audit. I will not let it beat me!,can'tsay
 Inverse Care Law = those  who least need care get most &amp; those who most need care get least. Just another private healthcare obscenity #NHS place <tweepy.models.Place object at 0x01D82E70>,can'tsay
 Interview with @pknoepfler on recent #stemcell discoveries: http://t.co/UoxydNO9Cv Learn more in his upcoming #book: http://t.co/alTpIcF5Zw,can'tsay
 Integration of Metabolic and Gene Regulatory Networks Modulates the C. elegans Dietary Response http://t.co/ceAZogSLrU #genomics  #nutrition,can'tsay
" Inside Solitary Confinement. An #iview doc about a broken system, #mentalhealth and #isolation.  http://t.co/Ble8RJWmox",can'tsay
 Inhale deep and then release your stress slowly #therapy,can'tsay
" In PH we rely on authority to give PH advice. Is this benefit being weakened by scandals in police, NHS, parliament etc? #publichealth",can'tsay
 In Memorium: American Medical Authority http://t.co/Ild64OIc2J #medicine #health #patientslikeme #quantifiedself,can'tsay
" In #Oriental #medicine, the digestive system &amp; mind are considered front and back. They are one system. http://t.co/QAFzmDjWbB",can'tsay
 Impact of pay for performance on inequalities in health care: systematic review http://t.co/YWEtYw3spP @riyadhonline #PrimaryCare,can'tsay
 Immune Protect with Paractin - Clinically Shown to Boost the Immune System http://t.co/ydouHK8ucA #nutrition,can'tsay
 Immune Protect with Paractin - Clinically Shown to Boost the Immune System http://t.co/c4BLqghqsh #nutrition,can'tsay
 I'm SO excited for Friday now! #seniors,can'tsay
 I'm doing my exercises and getting better thanks to @wellpepper #physicaltherapy,can'tsay
" If you need to talk, I will pretend to listen. #psychiatrist",can'tsay
 I won like five minutes ago.... #sorry #psychology http://t.co/TEpkKVr07C,can'tsay
" I was born to be a #PhysicianAssistant! We have PA DNA, hardwired to care for patients says DCAPA's Howard Straker. #PAsTakeDC",can'tsay
 I want a good man. In time he will come.. #Patient,can'tsay
 I told jake 2 months ago that Adam ferrera was leaving top gear. He actually believed me. #psych #trickedhim,can'tsay
 I take care of my #spine and nervous system. #Chiropractic #Affirmations  http://t.co/hb2M4Skbgp,can'tsay
 I really need my medical card. #stressed #legal #notsohigh #medical,can'tsay
 I really need my medical card. #stressed #legal #notsohigh #medical,can'tsay
 I met them just weeks ago but it feels like we've been friends forever. &lt;3 #fortune #pharmacy #duty,can'tsay
 I love Elon. #longliveelon #graduation #seniors #congrats,can'tsay
 I love all of you guys ?? #seniors http://t.co/BLoCZq6NCb,can'tsay
" I lied, the roles of the sympathetic adreno medullary system and pituitary adrenal system are so confusing #psychology",can'tsay
 I hope everyone had a safe and good weekend:) #physicaltherapy #orthopaedic #rehabilitation #sportsmedicine #woodlandhills,can'tsay
 I have pee'd 6 times in the past 10 minutes..... #sickkidprobz #medicine #tea #water #piss :p,can'tsay
 I feel weird about writing this report. it feels oddly personal. #feelingweird #mentalhealth,can'tsay
 I can hear the babies little ? beating awww #ultrasound #friend #baby http://t.co/6n4faH6u4v,can'tsay
 I am throwing an #mhealth rant during a TEC talk at #eHealth13,can'tsay
 Human Security -- A New Response to Complex Threats #sdoh  http://t.co/tpkof8sbVW,can'tsay
" http://t.co/Smi3TxyXZZ #Coca-Cola Sign w/ #Nurse, 31942 by Ruby + George on @OneKingsLane #wwii #1940s #cokesign #vintagecollectibles #coke",can'tsay
 http://t.co/nnVnbCioZ7 #Ultrasound #Images #HumanBody #Medicine #Echoes #SoftTissue #Bones #Organs #Fluid #Pulses #Kidneys #Stomach #Brain,can'tsay
 http://t.co/nnVnbCioZ7 #Ultrasound #Images #HumanBody #Medicine #Echoes #SoftTissue #Bones #Organs #Fluid #Pulses #Kidneys #Stomach #Brain,can'tsay
 http://t.co/NljxiFrGcR #Intellectual #Property #Medical #Professional INTELLECTUAL PROPERTY FOR THE MEDICAL PROFESSIONAL,can'tsay
 http://t.co/FVY2BpHCTg Gurunath Meiyappan arrested in IPL betting case http://t.co/EdYNeSvcVn #nurse #datacenter #asia #biztips #woolwich,can'tsay
" http://t.co/8T7E6uYNdf #Occupational #Therapy #Performance Occupational Therapy: Performance, Participation, and Well-Being",can'tsay
 http://t.co/3o1ruaMuUQ Blog Update! Talking #physicaltherapy with Dr. Ben Fung! #bizPT http://t.co/IESyELWTG2,can'tsay
 http://t.co/3o1ruaMuUQ Blog Update! Talking #physicaltherapy with Dr. Ben Fung! #bizPT,can'tsay
 http://t.co/1KoXUtMFJj #Human #Nutrition #Spirulina Spirulina in Human Nutrition and Health,can'tsay
 How to Know the Cause of #Thyroid #Disease and its Treatment http://t.co/iSz77cGqCJ,can'tsay
 How to keep up?New name for novel #coronavirus is Middle East #respiratory syndrome coronavirus (MERS-CoV)  -http://t.co/kbJW0evbss,can'tsay
 How To Detect #Breast Cancer Early http://t.co/FO3zXWgYtP #Mammograms,can'tsay
 How to choose the right senior day care center http://t.co/CRw44tEN2z #senior-day care,can'tsay
 How the Greatest Generation makes health care decisions #hcmktg #seniors http://t.co/UbMwGTYKQd,can'tsay
 How the Greatest Generation makes health care decisions #hcmktg #seniors http://t.co/Nhldg4EQAt,can'tsay
 How is servant leadership essential to #OccupationalTherapy? http://t.co/7TOZanzGhv #OTpeeps,can'tsay
" Hospitals profting from bloodstream infections, could there be a better metaphor for a broken system? http://t.co/tjq7qJNMbd #singlepayer",can'tsay
 Homeopathic Vibes Now Open Late on Wednesdays - PR Web (press release) http://t.co/d4PYlr7gho #medicine,can'tsay
 Holy crap! Our program saw a lot of patients this past weekend. I bet we r past our goal number! #cpep #mentalhealth,can'tsay
 Hiring a Director Outpatient Services - Behavioral Health Opportunity Job: General Health Servi... http://t.co/PkswA8sZuB #nursing #jobs,can'tsay
 Hill's Pet Nutrition's Disaster Relief Network Sends Needed Pet Food and ... - PR Newswire (press r... http://t.co/s4qAg7qUVb #nutrition,can'tsay
 Here's the little fella! :D measuring at 13 weeks even. #thumbsup #ultrasound #BabyOrrNumber2… http://t.co/B4YFC5vSFZ,can'tsay
 Here it is: http://t.co/BDxJHHfOZv #StickMan #StickMan #StickMan #StickMan #Stickman #MentalHealth #StickMan #Stckman #StickMan #RT,can'tsay
 Helping With Stress Mgmt. Free Downloads http://t.co/sRkG7SD8a8 #milhealth,can'tsay
 Help @HavasPR client @GoutEducation #TakeAStandOnGout. Visit new info kits for #patients &amp; #medical pros http://t.co/l3S7ccKTG1. #GAD2013,can'tsay
 Health Insurance Marketplace &amp; Women's Health {Video} http://t.co/aBMUvRxKfG #Caregivers #Patients #WomenHealth,can'tsay
 He was kicking mommy during the ultrasound #baby #ultrasound #kick #love @Stevies4life http://t.co/7g3IipXSVa,can'tsay
" Having an MRI scan in a couple of weeks, worried is an understatement. #mri #brain",can'tsay
 Have a safe holiday weekend to all!  #physicaltherapy #PhysioPT,can'tsay
 Have a resource that should be included in the new #womenshealth #physicaltherapy resource directory? #pelvicmafia http://t.co/i8DM0CKIVM,can'tsay
 Have a canker sore?  This could remove it in just 4 minutes - and keep it from returning. http://t.co/fgl41EB7Ty #orthodontics,can'tsay
 Happening NOW @CTIAShows -  @AnthonyShimkin session on #wirelesshealth business models in the Sands Expo - Bellini 2104-2105 #CTIA13,can'tsay
 Hand splints that look like jewellery - suspect my 8yo wld love when a bit older #disabilityglam #occupationaltherapy http://t.co/fbKULt4Iqb,can'tsay
" Great example of #mhealth for #globalhealth | Improving Maternal Health Care, One Text At A Time http://t.co/wmAmXZBRrg @SharonDAgostino",can'tsay
 Graduation time! #Seniors #2013,can'tsay
 Graduation cake.... #senior #2k13 #army http://t.co/kzdtuyClPL,can'tsay
 Got an annoying niggle? Beware of the never treated ankle sprain you had years ago! #movement #rehab,can'tsay
 Got a little off track the past couple months but now I am back and ready to roll! #medschool #applicationseason,can'tsay
 Got a doctor's appointment for my knee in an hour! #PhysicalTherapy,can'tsay
 Gorgeous Saturday! Heading to the #Rays game?! Stop into @RehabExchange on the way to the #Trop! #Rehab #Boutique http://t.co/EXvJEwBGHH,can'tsay
 Good News: On that #Senior status! ;D Tomorrow we head to #Tulsa #airport then to #Dallas airport the… http://t.co/9LZQjMgfcs,can'tsay
 Gonna miss them.. #sayinggoodbye #graduation #seniors  2013 http://t.co/HIBLZJvSS6,can'tsay
" Going tuxedo shopping with my baby today ? #prom2013 #seniors place <tweepy.models.Place object at 0x01D82F90> coordinates {u'type': u'Point', u'coordinates': [-73.84460697, 40.95198843]}",can'tsay
 Glutamine at Bedtime - Growth Hormone Releaser and Mental Performance Enhancer http://t.co/eilnX6ZPIo #nutrition,can'tsay
 Glutamine at Bedtime - Growth Hormone Releaser and Mental Performance Enhancer http://t.co/2zO1hy9SH7 #nutrition,can'tsay
 getting swoll #physicaltherapy #2pounds,can'tsay
 Gd night :) #slp,can'tsay
 Ga. #physician pursued private practice after leaving Army 18 years ago; now he's going back. http://t.co/lMWXV0oSk5 (@dvidshub),can'tsay
" From the Archives: : Snow, Surgery... http://t.co/CK8B73rq6b #Atlanta #Blog #Daddy #Eyes #Family #Holidays #Medical #Mommy #Strabismus",can'tsay
 Found to Increase Detoxifying Enzymes and Promote Healthy DNA Function http://t.co/QTb2vY8k4f #nutrition,can'tsay
 Found to Increase Detoxifying Enzymes and Promote Healthy DNA Function http://t.co/KE7UXJxOR3 #nutrition,can'tsay
 Foetal stem cell therapy improves spinal function - http://t.co/XlJugSIBKB coverage by @zeenews #medicine #health,can'tsay
 First game homer. Bang bang #Seniors #Mets,can'tsay
 Find out why it is better to #exercise on an empty stomach.  Read more #health #nutrition - http://t.co/0lwyWMaylV,can'tsay
 Females always come 2 me for advice #therapist #councelor,can'tsay
 Feeling so thankful for all the friends I've met in the past couple months ? #EDSers #spoonies #lifelongfriends,can'tsay
 Fat Nats Eggs at 10:30 ! #seniors,can'tsay
 Failing of balance test-bipedal stance on foam w/eyes closed+dec health&amp;activity=potential fallers http://t.co/rTqt39f90c #physicaltherapy,can'tsay
 Excited to open the newest location today of SERC Physical &amp; Hand Therapy in #PleasantHill #physicaltherapy Can't wait to see my first pt!,can'tsay
 Everything is ending and I'm starting to not like it :( #seniors,can'tsay
 Every now and then a jewel of awesomeness comes up on my Twitter feed. Thank you #neuroscience for your press release regarding #copper!,can'tsay
 ENDS TONIGHT! #Win a $25 Bluerane GC @JRFrugalMom @Bluerane3 is a #maternity #nursing &amp; #baby boutique #giveaway http://t.co/4COc7ke7R3,can'tsay
" Employers may have #PPACA knowledge, but do they have the wisdom to make the right decision? #HCR - http://t.co/yH8m88IpB9",can'tsay
" Employers may have #PPACA knowledge, but do they have the wisdom to make the right decision? #HCR - http://t.co/xgq9PBDiUF",can'tsay
" Employers may have #PPACA knowledge, but do they have the wisdom to make the right decision? #HCR - http://t.co/WVJxyceTjD",can'tsay
" Employers may have #PPACA knowledge, but do they have the wisdom to make the right decision? #HCR - http://t.co/QJSaJcXx5P",can'tsay
" Employers may have #PPACA knowledge, but do they have the wisdom to make the right decision? #HCR - http://t.co/L9niIYzPfx",can'tsay
" Employers may have #PPACA knowledge, but do they have the wisdom to make the right decision? #HCR - http://t.co/jHioOHJfYb",can'tsay
" Employers may have #PPACA knowledge, but do they have the wisdom to make the right decision? #HCR - http://t.co/ImUfeaaVBD",can'tsay
" Employers may have #PPACA knowledge, but do they have the wisdom to make the right decision? #HCR - http://t.co/gZgMYrz2b9",can'tsay
 Elderly patients will get personal #NHS worker to coordinate health #care http://t.co/FTWOAWv4vZ,can'tsay
 Echinacea and its Influence on the Immune System = Anti-viral Benefits http://t.co/ukeO85JJmL #nutrition,can'tsay
 Echinacea and its Influence on the Immune System = Anti-viral Benefits http://t.co/IClOAP0yYl #nutrition,can'tsay
" East Anglians are more stressed than Londoners, 36% feel stressed at least 1x per wk compared w/Ldn 30% #MentalHealth #VikingStressStudy",can'tsay
 DSM-V is Mind Boggling. Can't keep everyone happy. Human minds are too complex? http://t.co/OHVUPq14NX #psychiatry,can'tsay
 Drs. Dave &amp; Dee: Human Growth Hormone and Anti-Aging http://t.co/QnUPpIeNoH #health #wellness #senior #aging,can'tsay
 Drs. Dave &amp; Dee: Human Growth Hormone and Anti-Aging http://t.co/QnUPpIeNoH #health #wellness #senior #aging,can'tsay
 Drinking half a gallon of water every day can help you loose wait. #health #nutrition #fact,can'tsay
 Dr. Sigsbee in DC meeting with Rep. Paul Ryan R-WI. Discussed CMS cuts of NCS/EMG. @aanmember #neurology http://t.co/qGLkmtxUqJ,can'tsay
 Dr. Levinson shares when #grief becomes problematic and when you may need to seek #professional #help http://t.co/6UlFONSCwf #therapy,can'tsay
 Double banging on the ultrasound today. #ultrasound #ut #inspection #olympus #steel #work http://t.co/0ihYpgEFax,can'tsay
 Done! #senior #class2013 #seniorchecklist #graduating http://t.co/EFSVfIZK4G,can'tsay
 Don’t let #Medicare dictate your #medical Care.  Talk to Kappel &amp; Apple http://t.co/Bk0nuWZgl5 @_JohnCurry_,can'tsay
 Do you want to learn more about #vascular #ultrasound? Vascular Big Day Out. http://t.co/PtPjbjvTYB Register now! #sonographers,can'tsay
 Do all your therapy co-workers like you? Maybe not! Here are 25 reasons why: http://t.co/vblSVF7r2C #PhysicalTherapy #OTPeeps,can'tsay
 Diabetes is caused by free radical damage. High quality food will strengthen your immune system. #seniors http://t.co/F9KfW0NQxP,can'tsay
 Detailed Fact Sheets about the HealthRights of Young Ppl in the Care System #ChildWelfare #YouthJustice #MentalHealth http://t.co/Ej1De2e7W0,can'tsay
" Deciding what treatment is right for you: Degree of bother, goal of treatment #UCLAMDChat",can'tsay
" Dear @Oprah This w/e Kellen Surette is undergoing a #stemcell transplant. He's 7 &amp; from #GlaceBay, NS. http://t.co/WvldCQ5yLM #aRTwouldROCK",can'tsay
 Dear #NHS .... THANK YOU! X     #HammersmithHospital,can'tsay
 Day 20 of 25: Compounding of Vit. B Complex Day 2. 5 days to go. #intern #manufacturing #pharmacy #fb,can'tsay
 Day 19 of 25: Compounding of Vit. B Complex. Nakakangalay sa braso ang pag-sieve. :( 6 days to go. #intern #manufacturing #pharmacy #fb,can'tsay
 Day (+8) Memo: Run down on transplant process with 'Engrafmemt' in particular: http://t.co/0uVSfDddjj #StemCell #Lymphoma,can'tsay
" Daily Nursing Jobs: Staff Nurse II PreOp\PACU Brenham Hospital, Brenham TX, Scott and White Healthcare http://t.co/gzrz4wQHO2 #jobs, #nurse",can'tsay
 Dad and I are wearing matching flannels #Mhm,can'tsay
" Critical care patients have major health and financial problems 12 months after discharge,... http://t.co/N91eGx14j1 #Medical #Journals",can'tsay
 Coolin wit the bros at Santa Fe #gainesville #seniors #santafe http://t.co/flIsxRLSzJ,can'tsay
" Contrast, Alignment, Repetition, Proximity: the basics of visual #design that promote #ptsafety through #patientguard http://t.co/6mUarK8dhD",can'tsay
" Cont... #Following hes release, He had a #Court date, Well that date Came and #Dude was DIRTY. Now #REHAB or #JAIL is hes only option.",can'tsay
" Construction activity and rent growth accelerate in senior housing, while occupancy remains the same: http://t.co/CHnBAHn3tt #LTC #ALF",can'tsay
 Comparative effectiveness of a complex Ayurvedic treatment and conventional standard care in osteoarthritis of...  #nutrition,can'tsay
" Company profile UNIVERSITYMEDNET MEDICAL SUPPLY, INC. - http://t.co/byba482WSB  #UNIVERSITYMEDNET #MEDICAL #SUPPLY, #INC.",can'tsay
" Company profile SOUTHWEST SPINE CARE, INC. - http://t.co/M5VIrx5nN1  #SOUTHWEST #SPINE #CARE, #INC.",can'tsay
 Company profile HEINEBERG SENIOR HOUSING - http://t.co/lRcJleMNIc  #HEINEBERG #SENIOR #HOUSING,can'tsay
 Combating Metastatic Cancer Through Immune System Modulation http://t.co/OsZp0nWgkM #vaccines #immunesystem,can'tsay
 Columbus Dispatch report details the brokenness of today's #mentalhealth system. http://t.co/KeuOtOxTl8,can'tsay
 Colon keeps Astros off balance to seal sweep.#StemCell treatment seems to be fair in shoulder injury. He is 40 http://t.co/zw5VRAWAOa,can'tsay
 Choose Wisely. Kelak Menyesali. #Life #Choice #Human #Behaviour #Psychology http://t.co/3CwkwfETxt,can'tsay
 Check out our email update for the latest children's #mentalhealth and system of care news and resources. http://t.co/N4m3WnoiNo  #txmh,can'tsay
 Check if you have a #Thyroid disorder #ThaiKiradechAphibarnrat #SouthAfrica http://t.co/MoWEZ6BZu4 http://t.co/m6VWAwCYNQ,can'tsay
 Chaturanga #yoga has the potential to injure the shoulder if not done correctly http://t.co/vKjhnUSsY1 #PhysicalTherapy,can'tsay
 Catching up with #madeinchelsea @LouiseAThompson you so cray cray. #therapy,can'tsay
 Can't wait to see my witttle baby on the 3rd! ??? #ultrasound,can'tsay
 Canadian Healthcare job opportunity: (Hope): Physiotherapist http://t.co/WIY9M8iBfC #physio #therapy,can'tsay
 Can Big #Pharma put #patients first? http://t.co/4F71NFlkIG #CMEchat,can'tsay
 C14SS OF 2014 #senior #takeoverday #tomorrow #army #camo #wetakinovaaa #mandarin #mustangs #C/o2014… http://t.co/TMimBwmGa6,can'tsay
 Busy day today at@TNSRADIO_ #OnwardsAndUpwards #Business #Recruitment #AnyoneLookingForAJob? #Nurses #CallMe,can'tsay
 Busy day today at@SIWpolitics_ #OnwardsAndUpwards #Business #Recruitment #AnyoneLookingForAJob? #Nurses #CallMe,can'tsay
