,tweets,words,
9130," Abortion doctor Kermit Gosnell, to waive appeal, is spared death penalty - @AP http://t.co/8reVNl2Hgm via @breakingnews",abortion doctor kermit gosnell waive appeal spared death penalty via,can'tsay
9135, My road rage should be enough to put me in a mental hospital #angrydriver,road rage mental hospital #angrydriver,can'tsay
9144," BREAKING: Abortion doctor Kermit Gosnell, convicted of killing babies, to waive appeal, is spared death penalty - @AP http://t.co/a4wOEu6xZ9",breaking abortion doctor kermit gosnell convicted killing babies waive appeal spared death penalty,can'tsay
9145," Abortion doctor Kermit Gosnell, convicted of killing babies, to waive appeal, is spared death penalty - @AP",abortion doctor kermit gosnell convicted killing babies waive appeal spared death penalty,can'tsay
9149," @alibofny Visiting our babe of a foot doctor today! place <tweepy.models.Place object at 0x0291F670> coordinates {u'type': u'Point', u'coordinates': [-73.80516528, 40.70319772]}",visiting babe foot doctor,can'tsay
9151, Someone call Moffat -- this fan-made Doctor Who intro is better than the real thing! http://t.co/1MwnRxMtkw via @zite,call moffat fanmade doctor intro real via,can'tsay
9152," “@BreakingNews: Abortion doctor Kermit Gosnell, convicted of killing babies, to waive appeal, is spared death penalty - @AP” place <tweepy.models.Place object at 0x0291F4D0> coordinates {u'type': u'Point', u'coordinates': [-95.72310699, 29.80790544]}",abortion doctor kermit gosnell convicted killing babies waive appeal spared death penalty,can'tsay
9154," AP: Philadelphia abortion doctor convicted of killing 3 babies born alive agrees to forego appeal, will be spared death sentence.",ap philadelphia abortion doctor convicted killing babies born alive agrees forego appeal spared death sentence,can'tsay
9160," MT @bermaninstitute Parents sue SC re: adopted child's sex surgery, w/ comment from our Dr Maggie Moon http://t.co/j1yBhE4GXo @MegKinnardAP",mt parents sue sc re adopted childs sex surgery comment dr maggie moon,can'tsay
9170, OMFG this guy is shooting up the hospital!!!!!!!!,omfg guy shooting hospital,can'tsay
9176, Philadelphia abortion doctor convicted of killing 3 babies agrees to give up his right to appeal &amp; is spared a potential death sentence.-AP,philadelphia abortion doctor convicted killing babies agrees appeal spared potential death sentenceap,can'tsay
9181, Can I go one week without having to sit in the hospital?,week sit hospital,can'tsay
9188, Bayview hit and run sends driver to hospital:  A high-speed impact sent a Subaru Baja and its driver through t... http://t.co/G6WH0mfUmm,bayview hit run sends driver hospital highspeed impact sent subaru baja driver,can'tsay
9189, I hope my poorly best friend gets better and out of hospital very soon??missing ya @UJessie love you lots and lots??xxxxx,hope poorly friend hospital soonmissing ya love lots lotsxxxxx,can'tsay
9195, My doctor told me to drink soda....I don't drink soda.,doctor told drink sodai drink soda,can'tsay
9197, I liked a @YouTube video http://t.co/swJ6HKgj0I TCEDGAF (Sandwitches Remix) - Doctor rion. (Explicit) Prod. by 9ChildOfCybertron6,liked video tcedgaf sandwitches remix doctor rion explicit prod,can'tsay
9198," .@ecemdandin (@ international hospital) http://t.co/2R2q5fKCL9 place <tweepy.models.Place object at 0x0291F5D0> coordinates {u'type': u'Point', u'coordinates': [28.86784131, 40.99223889]}",international hospital,can'tsay
9200," Too bad the babies don't have the same option. RT @BreakingNews: Abortion doctor Kermit Gosnell, to waive appeal, is spared death penalty.",bad babies option abortion doctor kermit gosnell waive appeal spared death penalty,can'tsay
9201, Daily read -Advantages of workplace based assessments in medical education - http://t.co/K8CRpGfLJ5,daily read advantages workplace based assessments medical education,can'tsay
9202," If an apple a day keeps the doctor away, wondering how many apples did the doctor eat to be a doctor #sillyjoke ha ha ha",apple day doctor wondering apples doctor eat doctor #sillyjoke ha ha ha,can'tsay
9208," (AP) — Pa. abortion doctor Kermit Gosnell, who was convicted of killing babies, agrees to forego appeal and is spared death sentence",ap — pa abortion doctor kermit gosnell convicted killing babies agrees forego appeal spared death sentence,can'tsay
9214," Just got done, now of to the dentist, then doctor, then lax practice. Danggg",dentist doctor lax practice danggg,can'tsay
9218, http://t.co/VmSNzQnpxD Medical problems are the #1 cause of death.,medical #1 cause death,can'tsay
9225," Abortion doctor Kermit Gosnell, convicted of killing babies, to waive appeal, is spared death penalty - @AP http://t.co/mlfVosKe6v",abortion doctor kermit gosnell convicted killing babies waive appeal spared death penalty,can'tsay
9237," RT: @BreakingNews: Abortion doctor Kermit Gosnell, convicted of killing babies, to waive appeal, is spared death penalty - @AP",abortion doctor kermit gosnell convicted killing babies waive appeal spared death penalty,can'tsay
9238, @patrick_sauer i gotta see. my dad gets home from the hospital today,gotta dad home hospital,can'tsay
9244," “@BreakingNews: Abortion doctor Kermit Gosnell, convicted of killing babies, to waive appeal, is spared death penalty” I'm in two minds",abortion doctor kermit gosnell convicted killing babies waive appeal spared death penalty minds,can'tsay
9249," UPDATE: Philadelphia abortion doctor Gosnell strikes plea deal for two consecutive life sentences, avoiding possible death penalty.",update philadelphia abortion doctor gosnell strikes plea deal consecutive life sentences avoiding death penalty,can'tsay
9251, They need to make a Doctor Who episode about Blair.. He's like a boyband machine.,doctor episode blair hes boyband machine,can'tsay
9258, @sammybardsley oh a moped got hit by a car. His Injuries were life threatening and he got taken to a hospital in London! ??,oh moped hit car injuries life threatening hospital london,can'tsay
9263," I love it when my doctor asks me if I'm pregnant, so many jokes can be made",love doctor pregnant jokes,can'tsay
9268, a brand new doctor implies an innovative graveyard.: the particular german dialect proverb,brand doctor implies innovative graveyard particular german dialect proverb,can'tsay
9273," Smh  RT @BreakingNews: Abortion doctor Kermit Gosnell, convicted of killing babies, to waive appeal, is spared death penalty - @AP",smh abortion doctor kermit gosnell convicted killing babies waive appeal spared death penalty,can'tsay
9275, @DukeCambridgeUK JOBS: kate elizabeth middleton said a 'job prevention royal' spell. Hospital: because i went to each locally for,jobs kate elizabeth middleton job prevention royal spell hospital locally,can'tsay
9282, http://t.co/lVVKwE6Lzk Muslims in hospital after taking Mohameds cure - camel urine and milk. Was Allah wrong? No! Surely not! #EDL #MyJihad,muslims hospital taking mohameds cure camel urine milk allah wrong surely #edl #myjihad,can'tsay
9287, WARNING - the-doctor-to-my-tardis: chimchimchurro-o: thisismydivision: faberry-squeen: thisismydivision:... http://t.co/MIkHMMtORh,warning thedoctortomytardis chimchimchurroo thisismydivision faberrysqueen thisismydivision,can'tsay
9298, Seeing babys cry in hospital is the most distressing thing ever,seeing babys cry hospital distressing,can'tsay
9307, I'm sick. I need to go to the hospital! he still isolated without a right to be visited by his family.  #??????_????_????????,sick hospital isolated visited family #,can'tsay
9310, @AllTimeSally AND TODAY EUROVISION AND TOMORROW DOCTOR WHO. KILL ME,eurovision tomorrow doctor kill,can'tsay
9316, Doctor appointments do nothing but run you late when you need to be somewhere #stupid #needtogethome,doctor appointments run late #stupid #needtogethome,can'tsay
9321," Abortion doctor Kermit Gosnell, convicted of killing babies, is spared the death penalty - @AP http://t.co/ZOwQuBY0ku",abortion doctor kermit gosnell convicted killing babies spared death penalty,can'tsay
9326," If a Doctor is convicted of Abortion, the same judgement should be passed unto the folks.",doctor convicted abortion judgement passed unto folks,can'tsay
9329, JUST IN: Convicted PA abortion doctor Kermit #Gosnell spared death with a deal. Are you OK w/ the deal? http://t.co/xDH7o4NOcX #WOKVNews,convicted pa abortion doctor kermit #gosnell spared death deal ok deal #wokvnews,can'tsay
9331, JUST IN: Convicted PA abortion doctor Kermit #Gosnell spared death with a deal. Are you OK w/ the deal? http://t.co/b4hqVElGGi #WOKVNews,convicted pa abortion doctor kermit #gosnell spared death deal ok deal #wokvnews,can'tsay
9332, At the hospital *waiting for my mom to get out of surgery,hospital waiting mom surgery,can'tsay
9339, @OswaldClara \First of all,ow uncalled doctor cont,can'tsay
9348," Hey just home from visiting my mum in hospital Now gonna watch the soaps x place <tweepy.models.Place object at 0x0292CED0> coordinates {u'type': u'Point', u'coordinates': [1.2469155, 52.4231008]}",hey home visiting mum hospital gonna watch soaps,can'tsay
9354," Philadelphia abortion doctor Gosnell strikes plea deal for two consecutive life sentences, avoiding possible death penalty. Bah Kill em",philadelphia abortion doctor gosnell strikes plea deal consecutive life sentences avoiding death penalty bah kill em,can'tsay
9356, I really like the smell at the doctor's but this is nothing close to it.,smell doctors close,can'tsay
9361, Damn right i was spittin game at the hospital,damn spittin game hospital,can'tsay
9364," http://t.co/rO7Dl7Xxqa Free medical services to the low-income community! 806 E. Prospect Road Oakland Park, FL (954) 563-9876 #free #help",free medical services lowincome community prospect road oakland park fl #free #help,can'tsay
9370," BREAKING: Convicted PA abortion doctor Kermit Gosnell gives up right to appeal, spared death sentence.",breaking convicted pa abortion doctor kermit gosnell appeal spared death sentence,can'tsay
9386," Abortion doctor Kermit Gosnell is spared the death penalty, per @AP",abortion doctor kermit gosnell spared death penalty,can'tsay
9387, Three victims remained in critical condition at a hospital Tuesday as New Orleans officials sought a teenage suspect in the Mother's Day ..,victims remained critical condition hospital tuesday orleans officials sought teenage suspect mothers day,can'tsay
9391, I'm watching Doctor Who (1480 are watching) http://t.co/duPXXUM2kN #GetGlue @bbcdoctorwho,watching doctor watching #getglue,can'tsay
9393, AP: PA abortion doctor Kermit Gosnell has agreed to forego appeals and is spared a death sentence.  He'll serve a... http://t.co/DtcJT2Z7G9,ap pa abortion doctor kermit gosnell agreed forego appeals spared death sentence hell serve,can'tsay
9398, Why do America get new Doctor Who the same day as us but they're like 6 episodes of Supernatural ahead of us why how is that fair why,america doctor day episodes supernatural ahead fair,can'tsay
9403, Applied for my externship at U of M hospital today:)) and less then a month a classroom training left??,applied externship hospital month classroom training left,can'tsay
9405," @laurenbigeejit hungry, sleepy, sing-y, and watching Doctor Who. And you? :)",hungry sleepy singy watching doctor,can'tsay
9413," Abortion doctor Kermit Gosnell, convicted of killing babies, to waive appeal, is spared death penalty - @AP http://t.co/TMA0XclAFd",abortion doctor kermit gosnell convicted killing babies waive appeal spared death penalty,can'tsay
9414, Doctor Kermit you are a sick bastard and I'm glad your being considered for death penalty!!,doctor kermit sick bastard glad considered death penalty,can'tsay
9415," What a day , son tears a ligament hospital X-ray bk to car immobiliser wouldn't except key home spare key bk to hospital reset key continue",day son tears ligament hospital xray bk car immobiliser except key home spare key bk hospital reset key continue,can'tsay
9419, @Meganical720D make that the doctor,doctor,can'tsay
9422, I should volunteer at the hospital and just hold babies but I feel like that's frowned upon.,volunteer hospital hold babies feel thats frowned,can'tsay
9429, I should go to the doctor but .... http://t.co/S7ApdSaeSC,doctor,can'tsay
9433, I'm a doctor i can kill you!,doctor kill,can'tsay
9436," Why?! RT “@BreakingNews: Abortion doctor Kermit Gosnell, convicted of killing babies, to waive appeal, is spared death penalty - @AP”",abortion doctor kermit gosnell convicted killing babies waive appeal spared death penalty,can'tsay
9446," Why? RT @BreakingNews: Abortion doctor Kermit Gosnell, convicted of killing babies, to waive appeal, is spared death penalty - @AP",abortion doctor kermit gosnell convicted killing babies waive appeal spared death penalty,can'tsay
9455, I'm watching General Hospital (340 are watching) http://t.co/GlwhO9Gr5e #GetGlue @GeneralHospital,watching hospital watching #getglue,can'tsay
9464, The Day I knew weed was EXTREMELY bad..was when a certain guy ran to the Hospital and asked for 'Dr. Dre' ?,day weed extremely badwas guy ran hospital dr dre,can'tsay
9476, @BreakingNews @MSN @AP If anyone deserves the death penalty this evil doctor does.,deserves death penalty evil doctor,can'tsay
9478, Bayview hit and run sends driver to hospital - South Whidbey Record http://t.co/xC5KepNey7,bayview hit run sends driver hospital south whidbey record,can'tsay
9494," Over an hour, still not seen by a doctor.. #IHaveToBeSomewhereAssholes",hour seen doctor #ihavetobesomewhereassholes,can'tsay
9496, I need to go to the hospital or some shit,hospital shit,can'tsay
9497, Unless your a LEGIT medical patient that uses oil because of a medical reason .,unless legit medical patient oil medical reason,can'tsay
9502, @DrGrumble @suzyg001 @Doctors_net_uk What does 'identifying yourself as a doctor' mean in practice? http://t.co/eSuFKCEXFY #gmcguidance,identifying doctor mean practice #gmcguidance,can'tsay
9529, @Tentaklingon yess you mentioned that earlier! reminds me of this rough-handed doctor who removed a mole surgically from the back of my head,yess mentioned earlier reminds roughhanded doctor removed mole surgically head,can'tsay
9542, The best Matt Smith Doctor Who is that one Craig Ferguson song and dance number.,matt smith doctor craig ferguson song dance,can'tsay
9551, Philadelphia abortion doctor Kermit Gosnell reaches a plea deal for life behind bars on convictions of murdering babies.,philadelphia abortion doctor kermit gosnell reaches plea deal life bars convictions murdering babies,can'tsay
9554, \@BreakingNews: Abortion doctor Kermit Gosnell,abortion doctor kermit gosnell convicted killing babies waive appeal spared death penalty,can'tsay
9556, hahahahah that belguim lad looked like lee nelson's doctor bob,hahahahah belguim lad looked lee nelsons doctor bob,can'tsay
9558, The hospital bed was comfier than my bed,hospital bed comfier bed,can'tsay
9568," Enjoying some EBC1. I, Claudius, Frankenstein, Doctor Who jokes tumbling past breathtakingly quickly...",enjoying ebc1 claudius frankenstein doctor jokes tumbling past breathtakingly quickly,can'tsay
9572," I'm hiring! Programmer Analyst at Medical Device Company (St. Paul, MN) - Greater Minneapolis-St. Paul Area #jobs http://t.co/Ja20cNzg1m",hiring programmer analyst medical device company st paul mn minneapolisst paul #jobs,can'tsay
9580," Lmao\@Ishmex: The Day I knew weed was EXTREMELY bad..was when a certain guy ran to the Hospital and asked for 'Dr. Dre' ?\""""",lmaoiiidddiiidddishmex day weed extremely badwas guy ran hospital dr dre,can'tsay
9581, I love going to the doctor??,love doctor,can'tsay
9646," Parents sue SC, hospital over child's sex surgery: A couple is suing the state of South Carolina for what they... http://t.co/aBuH0oHr1D",parents sue sc hospital childs sex surgery couple suing south carolina,can'tsay
9669, Brooklyn construction accident leaves two in hospital http://t.co/wXVL73M6ji,brooklyn construction accident leaves hospital,can'tsay
9673, To the lady that went into labor mid hockey game and didn't go to the hospital after the game...you're a fucking freak.,lady labor mid hockey game hospital gameyou fucking freak,can'tsay
9674, Doctor faggot.. Paging doctor faggot @klaws7,doctor faggot paging doctor faggot,can'tsay
9676," Officer Frank Ambrifi, 40, of Delanco Township, N.J. issues statement from hospital after being shot on Tuesday. http://t.co/al6WJwZxxT",officer frank ambrifi delanco township nj issues statement hospital shot tuesday,can'tsay
9691," @gauravkapur so if you were in born in a hospital,does that make it your favorite destination? :/ #justsaying",born hospitaldoes favorite destination #justsaying,can'tsay
9696, Omw to the hospital to see my brother,omw hospital brother,can'tsay
9698," Shameful! RT @BreakingNews: Abortion doctor Kermit Gosnell, convicted of killing babies, to waive appeal, is spared death penalty - @AP",shameful abortion doctor kermit gosnell convicted killing babies waive appeal spared death penalty,can'tsay
9700," Dear TAC patrons, I am not a printer doctor, leave me the fuck alone",dear tac patrons printer doctor leave fuck,can'tsay
9711, This is a hilarious and sad story - This Is What Happens When You Hit A Car On The Way To Your Son’s Hospital http://t.co/H8IF7h1Pq9,hilarious sad story happens hit car son’ hospital,can'tsay
9721, Lol this hospital has guy code c:,lol hospital guy code,can'tsay
9728, Just got back from the hospital with @BertStrickland he is doing fine! im going to have a talk with this kid! #notahappysister,hospital fine im talk kid #notahappysister,can'tsay
9733, @abdullahyounas and that'll probably cost me my medical licence '_',thatll probably cost medical licence,can'tsay
9735," RT @BreakingNews: Abortion doctor Kermit Gosnell, convicted of killing babies, to waive appeal, is spared death penalty - @AP",abortion doctor kermit gosnell convicted killing babies waive appeal spared death penalty,can'tsay
9746, MT\ parents suing social services agency,mt parents suing social services agency hospital child’ sex assignment surgery actually agree,can'tsay
9756, @EmmettScanlan where abouts are you? Just got home from work at col hospital :-(,abouts home col hospital,can'tsay
9763," RT @breakingnews: Abortion doctor Kermit Gosnell, convicted of killing babies, to waive appeal, is spared death penalty - @AP",abortion doctor kermit gosnell convicted killing babies waive appeal spared death penalty,can'tsay
9765, I need to check with my doctor to make sure I can even go out there though,check doctor,can'tsay
9778," @OliviaSpringer I have no idea, but my doctor said I'm in the beginning stage of labor :) &amp; that was 2 hours ago. so hopefully soon!",idea doctor beginning stage labor hours ago hopefully soon,can'tsay
9779," Stop killin babies RT @BreakingNews: Abortion doctor Kermit Gosnell, convicted of killing babies, to waive appeal, is spared death penalty -",stop killin babies abortion doctor kermit gosnell convicted killing babies waive appeal spared death penalty,can'tsay
9787," I'm not a doctor, if I was, Id prescribe you a penis. It should be taken orally every 4-6 hours. Side effects include premature ejaculation.",doctor id prescribe penis orally hours effects include premature ejaculation,can'tsay
9796, Manor hospital for 3rd year,manor hospital,can'tsay
9805, Philadelphia abortion doctor Kermit Gosnell is spared the death penalty and will spend life in prison.,philadelphia abortion doctor kermit gosnell spared death penalty spend life prison,can'tsay
9827, @robert_crawley I'm not very well doctor..,doctor,can'tsay
9832, @hi_itslinz I have to go through medical schooool,medical schooool,can'tsay
9833," That's crazy “@BreakingNews: Abortion doctor Kermit Gosnell, convicted of killing babies, to waive appeal, is spared death penalty - @AP”",thats crazy abortion doctor kermit gosnell convicted killing babies waive appeal spared death penalty,can'tsay
9836, @AsvpLouii cause I don't got a medical card,cause medical card,can'tsay
9846," Wow! “@BreakingNews: Abortion doctor Kermit Gosnell, convicted of killing babies, to waive appeal, is spared death penalty - @AP”",wow abortion doctor kermit gosnell convicted killing babies waive appeal spared death penalty,can'tsay
9862, @ClaiBoi nope..been in hospital all weekend..were going to see it but i got sick,nopebeen hospital weekendwere sick,can'tsay
9876," @BoyceAvenue hurry up im in hospital in Glasgow sitting waiting to watch, this will make me feel a hole lot better HURRY UP PLEASE",hurry im hospital glasgow sitting waiting watch feel hole lot hurry please,can'tsay
9878, I hate coming to the doctor especially when they have to take blood out ????,hate coming doctor especially blood,can'tsay
9885, So glad wife is home from hospital. That took a lot of my stress away. :-),glad wife home hospital lot stress,can'tsay
9889," Abortion doctor Kermit Gosnell, convicted of killing babies, to waive appeal, is spared death penalty - @AP http://t.co/weRxjuoUI4",abortion doctor kermit gosnell convicted killing babies waive appeal spared death penalty,can'tsay
9902, They sent the Doctor Who finale to the US before showing us .. By accident!? Psh thanks,sent doctor finale accident psh thanks,can'tsay
9906, @StudentHarry @Teacher_Louis he's in hospital atm;(,hes hospital atm,can'tsay
9909, @Chris__SOLE @simplyy_jasmine youre not supposed to use cellphones in the hospital lmao,youre supposed cellphones hospital lmao,can'tsay
9912, My band director said if the next Doctor isn't a ginger she's quitting her job and moving to Antarctica,band director doctor ginger shes quitting job moving antarctica,can'tsay
9917, @bihar2bombay @Bootyful_BabaJi You both need to stop playing Doctor.. Instead get some alcohol in your systems,stop playing doctor instead alcohol systems,can'tsay
9920, Got myself a hospital souvenir http://t.co/ubnLDb8QYV,hospital souvenir,can'tsay
9931," RT @NewsBreaker: Philadelphia abortion doctor Gosnell strikes plea deal for two consecutive life sentences, avoiding possible death penalty.",philadelphia abortion doctor gosnell strikes plea deal consecutive life sentences avoiding death penalty,can'tsay
9932, #BREAKING: Convicted Pa. abortion doctor waives appeal; is spared death sentence http://t.co/DS20tZPzLv,#breaking convicted pa abortion doctor waives appeal spared death sentence,can'tsay
9946, @AnthonyGiordan0 also I got the interview at the hospital so I am coming up next week :),interview hospital coming week,can'tsay
9948," In the hospital waiting room. Just had to call an ambulance for my grandma. place <tweepy.models.Place object at 0x0292CEB0> coordinates {u'type': u'Point', u'coordinates': [-79.94983533, 40.32499038]}",hospital waiting call ambulance grandma,can'tsay
9954," WOW RT @BreakingNews: Abortion doctor Kermit Gosnell, convicted of killing babies, to waive appeal, is spared death penalty - @AP",wow abortion doctor kermit gosnell convicted killing babies waive appeal spared death penalty,can'tsay
9973," Abortion doctor convicted of killing 3 babies who were born alive agrees to forego appeal, spared death sentence. http://t.co/rdBcvPQoJB",abortion doctor convicted killing babies born alive agrees forego appeal spared death sentence,can'tsay
9978," “@BreakingNews: Abortion doctor Kermit Gosnell, convicted of killing babies, to waive appeal, is spared death penalty - @AP”",abortion doctor kermit gosnell convicted killing babies waive appeal spared death penalty,can'tsay
9980," Taaaaa! FAT lie \@Ishmex: The Day I knew weed was EXTREMELY bad..was when a certain guy ran to the Hospital and asked for 'Dr. Dre' ?\""""",taaaaa fat lie day weed extremely badwas guy ran hospital dr dre,can'tsay
9984, @city0f_delusi0n doctor who though,doctor,can'tsay
9990, Three victims remained in critical condition at a hospital Tuesday as New Orleans officials sought a teenage suspect in the Mother's Day ..,victims remained critical condition hospital tuesday orleans officials sought teenage suspect mothers day,can'tsay
9995," @michellemalkin what is this crap? Abortion doctor Kermit Gosnell, convicted of killing babies, to waive appeal, is spared death penalty place <tweepy.models.Place object at 0x0291F670> coordinates {u'type': u'Point', u'coordinates': [-98.52242, 29.55647]}",crap abortion doctor kermit gosnell convicted killing babies waive appeal spared death penalty,can'tsay
9996, Just took a nap in Lenox Hill Hospital's waiting room #TrueBum,nap lenox hill hospitals waiting #truebum,can'tsay
10006, I hate going to the doctor. #takesforever,hate doctor #takesforever,can'tsay
10008, CBSPhilly reports on the Gosnell sentencing; abortion doctor gives up appeals; agrees to 2 life terms; avoids death. http://t.co/2pXlgOxXj1,cbsphilly reports gosnell sentencing abortion doctor appeals agrees life terms avoids death,can'tsay
10015," @cartoonmoney \Doctor Who. Now starring John Hurt playing Omega as The Doctor.\""""",doctor starring john hurt playing omega doctor,can'tsay
10027, BREAKING: Abortion doctor Gosnell gives up his right to appeal strikes plea deal to serve 2 consecutive life sentences avoids death penalty.,breaking abortion doctor gosnell appeal strikes plea deal serve consecutive life sentences avoids death penalty,can'tsay
10029," Abortion doctor convicted of killing 3 babies who were born alive agrees to forego appeal, spared death sentence. http://t.co/tAeIhVVxqj",abortion doctor convicted killing babies born alive agrees forego appeal spared death sentence,can'tsay
10037," Parents sue SC, hospital over child's sex surgery: COLUMBIA, S.C. -- A couple filed a lawsuit Tuesday against the... http://t.co/6eCllvZivg",parents sue sc hospital childs sex surgery columbia sc couple filed lawsuit tuesday,can'tsay
10048, Parents sue S.C. hospital over child’s gender assignment surgery http://t.co/zsECBI4bEL via @lgbtqnation #intersex #genderidentity,parents sue sc hospital child’ gender assignment surgery via #intersex #genderidentity,can'tsay
10054," I posted 5 photos on Facebook in the album \The Name of the Doctor (Potential Spoilers)\"" http://t.co/YSWhqHMj1z""",posted photos facebook album name doctor potential spoilers,can'tsay
10065, I'm bout to break out this hospital,bout break hospital,can'tsay
10066, Three victims remained in critical condition at a hospital Tuesday as New Orleans officials sought a teenage suspect in the Mother's Day ..,victims remained critical condition hospital tuesday orleans officials sought teenage suspect mothers day,can'tsay
10073, Doctor Appointment yesterday &gt;&gt;&gt; ? it Went good,doctor appointment yesterday gtgtgt,can'tsay
10091," They gon confirm what I been saying for months, that Nigga is a kitten RT @Cwill356 Take Kush to the doctor day",gon confirm saying months nigga kitten kush doctor day,can'tsay
10109, Whats swerve? ;) RE: @AustinRagusin: I'm back from the hospital. Swerve.,whats swerve re hospital swerve,can'tsay
10117," Was doing my politics exam and after citing this doctor for ages, I realise she was the examiner. place <tweepy.models.Place object at 0x0292CF50>",politics exam citing doctor ages realise examiner,can'tsay
10126, RT @usatoday: #BREAKING: Convicted Pa. abortion doctor waives appeal; is spared death sentence http://t.co/xyjh4KzZ1K,#breaking convicted pa abortion doctor waives appeal spared death sentence,can'tsay
10128, Never had an odor problem. Shxt my doctor be bragging to her interns bout this here ...,odor shxt doctor bragging interns bout,can'tsay
10133," Hospital=hospital diet=Nutella, graham crackers, strawberries and peanut butter. Cheeeeee hooooo place <tweepy.models.Place object at 0x0292C370> coordinates {u'type': u'Point', u'coordinates': [-157.89947082, 21.36308926]}",hospitalhospital dietnutella graham crackers strawberries peanut butter cheeeeee hooooo,can'tsay
10155, @Tweet_Toya Hey Toya. Can  u email me info on u &amp; ur husband's new medical practice to platinum_prez@yahoo.com or direct message me?,hey toya email info ur husbands medical practice platinumpreziiidddiiidddyahoocom direct message,can'tsay
10159, But if they are testing medical reasons they shouldn't just throw everything into a liquid and test it without actually thinking.,testing medical reasons throw liquid test actually thinking,can'tsay
10160," Abortion doctor Kermit Gosnell, convicted of killing babies, to waive appeal, is spared death penalty - @AP http://t.co/LYnKg0EH48",abortion doctor kermit gosnell convicted killing babies waive appeal spared death penalty,can'tsay
10164, medical case shaping http://t.co/W8s5iHqNn5,medical shaping,can'tsay
10189, Myspace: Died a couple of years ago. Facebook: In the hospital. Twitter: At the strip club throwing ones at the big booty bitches.,myspace died couple ago facebook hospital twitter strip club throwing ones booty bitches,can'tsay
10194," My soundtrack: ? \Café de Flore\"" by Doctor Rockit http://t.co/mAUklxgUgL""",soundtrack café flore doctor rockit,can'tsay
10196, Medical Records Technician Careers Overview http://t.co/t15G0VVTP7,medical records technician careers overview,can'tsay
10204, #eurovision it's like watching a train carrying livestock crash into a hospital,#eurovision watching train carrying livestock crash hospital,can'tsay
10210, Why is it that today of all days I had to park at the back of the hospital. Going to get drenched :( #rain #justmyluck,days park hospital drenched #rain #justmyluck,can'tsay
10211," My doctor confirmed my self-diagnosis of hypochondria, and now I don't know who I can trust.",doctor confirmed selfdiagnosis hypochondria trust,can'tsay
10221," so many people I know, their grandpa's/grandads are poorly, so sad seeing tweets about them in hospital, reminds me when I went to see mine",people grandpasgrandads poorly sad seeing tweets hospital reminds mine,can'tsay
10222, I'm watching Doctor Who (1444 are watching) http://t.co/TVP4wHydAn #GetGlue @bbcdoctorwho,watching doctor watching #getglue,can'tsay
10224, know a person who has stopped alcohol with sudden confusion and seeing abnormal things. Seek medical help. http://t.co/ODoAqQhpF1 #health,person stopped alcohol sudden confusion seeing abnormal seek medical help #health,can'tsay
10241, Philadelphia abortion doctor Kermit Gosnell has been spared the death sentence: http://t.co/gojSZ1xlTO,philadelphia abortion doctor kermit gosnell spared death sentence,can'tsay
10242," :\D \""@mnmMbatha: Someone is going to end up in hospital after this\""""",hospital,can'tsay
10245," \@totallynotemily: My band director said if the next Doctor isn't a ginger she's quitting her job and moving to Antarctica\""#gingerpower #PW""",band director doctor ginger shes quitting job moving antarctica#gingerpower #pw,can'tsay
10253, Judy Moran still in hospital despite death rumours http://t.co/wai0AaE12p,judy moran hospital despite death rumours,can'tsay
10254, Judy Moran still in hospital despite death rumours http://t.co/lMvJzKKd4C,judy moran hospital despite death rumours,can'tsay
10255, This just in: Convicted abortion doctor Kermit Gosnell spared death penalty. http://t.co/FnILReG0WV,convicted abortion doctor kermit gosnell spared death penalty,can'tsay
10260, On Thee Way To Thee Doctor .,thee thee doctor,can'tsay
10274, Myspace: Died a couple of years ago. Facebook: In the hospital. Twitter: At the strip club throwing ones at the big booty bitches,myspace died couple ago facebook hospital twitter strip club throwing ones booty bitches,can'tsay
10279," That's why I don't even bother telling my mom about any medical issues that arises, always thinking I'm trying 2 get out from doing somethin",thats bother telling mom medical issues arises thinking trying somethin,can'tsay
10280, @StephanieEmers1 I would my hospital bill would be ridiculous lol #NHS,hospital bill ridiculous lol #nhs,can'tsay
10282, Three victims remained in critical condition at a hospital Tuesday as New Orleans officials sought a teenage suspect in the Mother's Day ..,victims remained critical condition hospital tuesday orleans officials sought teenage suspect mothers day,can'tsay
10289, Why do people think that I have anger issues because if I did they would be in the hospital right now,people anger issues hospital,can'tsay
10297," “@KATUNews: Abortion doctor convicted of killing babies agrees to forego appeal, is spared death sentence. --@AP” he should get death",abortion doctor convicted killing babies agrees forego appeal spared death sentence death,can'tsay
10299," I'm at Spectrum Health Butterworth Hospital (Grand Rapids, MI) w/ 5 others http://t.co/PXzCD1aU1a",spectrum health butterworth hospital grand rapids mi,can'tsay
10314, Attention Ultimate Medical Academy!  (in my megaphone voice)....ARE YOU READY?!?!?  Zumba Fitness tonight 6pm!... http://t.co/IQBmcxxbk4,attention ultimate medical academy megaphone voiceare ready zumba fitness tonight,can'tsay
10315, Well time to get glasses Fuck the doctor,time glasses fuck doctor,can'tsay
10317, @livvytano i think i need to go see a doctor im mental man,doctor im mental,can'tsay
10329, @AngelThoms If you're looking for a cosmetic doctor then check out my website. http://t.co/NpLDGqAbkf,looking cosmetic doctor check website,can'tsay
10331, @elephande do you have a doctor that does home visits?,doctor home visits,can'tsay
