tweets,tweets,
" Review of #Spa #Sonic Skin Care System, this Former Cosmetologist LOVES it!  http://t.co/2zS835J5xZ #skincare #facialbrush","review,#spa,#sonic,skin,care,system,former,cosmetologist,loves,#skincare,#facialbrush",can'tsay
 ReNeuron Rises Most in 3 Months on Interim Stroke Data http://t.co/b7uzsehLr7 via @BloombergNews #stemcell,"reneuron,rises,months,interim,stroke,data,via,#stemcell",can'tsay
" REMINDER: 6 days left, get 20% discount CEU use code BHSM2013 in the voucher field http://t.co/qsY1iytLA5 #SLPeeps #OTpeeps #physicaltherapy","reminder,days,left,discount,ceu,code,bhsm2013,voucher,field,#slpeeps,#otpeeps,#physicaltherapy",can'tsay
" Registered Nurse Cath Lab - Baylor Health Care System: ( #GRAPEVINE , TX) http://t.co/sxwt0gmSUf #Nursing #Job #Jobs #TweetMyJobs place <tweepy.models.Place object at 0x01EB4510> coordinates {u'type': u'Point', u'coordinates': [-97.0780654, 32.9342919]}","registered,nurse,cath,lab,baylor,health,care,system,#grapevine,tx,#nursing,#job,#jobs,#tweetmyjobs,type",can'tsay
" Registered Nurse Cath Lab - Baylor Health Care System: ( #GRAPEVINE , TX) http://t.co/icZfMRqjog #Nursing #Job #Jobs #TweetMyJobs place <tweepy.models.Place object at 0x0256FDB0> coordinates {u'type': u'Point', u'coordinates': [-97.0780654, 32.9342919]}","registered,nurse,cath,lab,baylor,health,care,system,#grapevine,tx,#nursing,#job,#jobs,#tweetmyjobs,type",can'tsay
" Registered Nurse - Niagara Health System: ( #OntarioJobs, ON) http://t.co/Nmdev0i7bq #Nursing #nhscareers #Job #Jobs #TweetMyJobs","registered,nurse,niagara,health,system,#ontariojobs,#nursing,#nhscareers,#job,#jobs,#tweetmyjobs",can'tsay
" Registered Nurse - Niagara Health System: ( #OntarioJobs, ON) http://t.co/A6IPU650sr #Nursing #nhscareers #Job #Jobs #TweetMyJobs place <tweepy.models.Place object at 0x01EB42D0> coordinates {u'type': u'Point', u'coordinates': [-85.3232139, 51.253775]}","registered,nurse,niagara,health,system,#ontariojobs,#nursing,#nhscareers,#job,#jobs,#tweetmyjobs,type",can'tsay
" Registered Nurse - Baylor Health Care System: ( #MCKINNEY , TX) http://t.co/vivM2ul1gw #Nursing #Job #Jobs #TweetMyJobs place <tweepy.models.Place object at 0x01EB43B0> coordinates {u'type': u'Point', u'coordinates': [-96.6397822, 33.1972465]}","registered,nurse,baylor,health,care,system,#mckinney,tx,#nursing,#job,#jobs,#tweetmyjobs,type",can'tsay
" Registered Nurse - Baylor Health Care System: ( #IRVING , TX) http://t.co/cOSz42oIyG #Nursing #Job #Jobs #TweetMyJobs place <tweepy.models.Place object at 0x0256FE10> coordinates {u'type': u'Point', u'coordinates': [-96.9488945, 32.8140177]}","registered,nurse,baylor,health,care,system,#irving,tx,#nursing,#job,#jobs,#tweetmyjobs,type",can'tsay
" Registered Nurse - Baylor Health Care System: ( #GRAPEVINE , TX) http://t.co/vz848B5pGd #Nursing #Job #Jobs #TweetMyJobs place <tweepy.models.Place object at 0x01EB4310> coordinates {u'type': u'Point', u'coordinates': [-97.0780654, 32.9342919]}","registered,nurse,baylor,health,care,system,#grapevine,tx,#nursing,#job,#jobs,#tweetmyjobs,type",can'tsay
" Registered Nurse - Baylor Health Care System: ( #FTWORTH , TX) http://t.co/RbXoVyZuLg #Nursing #Job #Jobs #TweetMyJobs place <tweepy.models.Place object at 0x029816B0> coordinates {u'type': u'Point', u'coordinates': [-97.3208496, 32.725409]}","registered,nurse,baylor,health,care,system,#ftworth,tx,#nursing,#job,#jobs,#tweetmyjobs,type",can'tsay
" Registered Nurse - Baylor Health Care System: ( #FTWORTH , TX) http://t.co/77YXeBY6QO #Nursing #Job #Jobs #TweetMyJobs place <tweepy.models.Place object at 0x027916F0> coordinates {u'type': u'Point', u'coordinates': [-97.3208496, 32.725409]}","registered,nurse,baylor,health,care,system,#ftworth,tx,#nursing,#job,#jobs,#tweetmyjobs,type",can'tsay
" Registered Nurse - Baylor Health Care System: ( #CARROLLTON , TX) http://t.co/eE44xI2MWV #Nursing #Job #Jobs #TweetMyJobs place <tweepy.models.Place object at 0x01EB4270> coordinates {u'type': u'Point', u'coordinates': [-96.8899636, 32.9756415]}","registered,nurse,baylor,health,care,system,#carrollton,tx,#nursing,#job,#jobs,#tweetmyjobs,type",can'tsay
" Registered Nurse - Baylor Health Care System: ( #CARROLLTON , TX) http://t.co/6w0QOqQVh3 #Nursing #Job #Jobs #TweetMyJobs place <tweepy.models.Place object at 0x01EE4310> coordinates {u'type': u'Point', u'coordinates': [-96.8899636, 32.9756415]}","registered,nurse,baylor,health,care,system,#carrollton,tx,#nursing,#job,#jobs,#tweetmyjobs,type",can'tsay
 Recently my dreams have been so weird I believe they would disturb people maybe I Gould go talk to someone about it #psychiatrist,"recently,dreams,weird,believe,disturb,people,maybe,gould,talk,#psychiatrist",can'tsay
 really enjoying this #psych sode from 2 weeks ago since i guess @usa_network is totally over putting them on demand the day after.,"enjoying,#psych,sode,weeks,ago,guess,network,totally,putting,demand,day",can'tsay
 Real gay man name dropping to me on the train Zzzzzz... Apparently he's dressing Beyonce next week and is good friends with Cavalli #Mhm,"real,gay,name,dropping,train,zzzzzz,apparently,dressing,beyonce,week,friends,cavalli,#mhm",can'tsay
 Ready for Disneyland say whaaaaat?! #seniors #gradnite http://t.co/oEgzABhw2Q,"ready,disneyland,whaaaaat,#seniors,#gradnite",can'tsay
" Reading a paper about diabetes. It's long, but at least it's easier to read than the Growth Hormone one. #MedStudent #MedTest","reading,paper,diabetes,easier,read,growth,hormone,#medstudent,#medtest",can'tsay
" Quote of the day: Once you cut up a dead person with someone, there's a bond that can't be broken. #medschool #friends @ColleenyWeeny8","quote,day,cut,dead,person,bond,broken,#medschool,#friends",can'tsay
" Qualified Social Worker-Hospital Discharge -Southampton-Sanctuary Social Care #occupationaltherapy, #physicaltherapy http://t.co/dPnRvWFS2e","qualified,social,worker,hospital,discharge,southampton,sanctuary,social,care,#occupationaltherapy,#physicaltherapy",can'tsay
" QC's #pharma system combines private and public insurance &amp; means that the burden of \higher risk\"" ppl is put on public system #Pcare2013""","qc,#pharma,system,combines,private,public,insurance,means,burden,risk,ppl,public,system,#pcare2013",can'tsay
 Proven #results &amp; satisfied #customers. #Skindulgence 30 Minute Non-Surgical #Facelift Results shown here http://t.co/u5Z7kR1Pkx #Skincare,"proven,#results,satisfied,#customers,#skindulgence,minute,surgical,#facelift,results,shown,#skincare",can'tsay
 proscar  #Pills #pharmacy #health http://t.co/KRwHj0ezt6,"proscar,#pills,#pharmacy,#health",can'tsay
 Prom night brothas #primenut #seniors @bromero20 http://t.co/Imxx4XrsT0,"prom,night,brothas,#primenut,#seniors",can'tsay
 Profession: #physician Specialty: Orthopedic Surgery Region: Southwest State: Oklahoma Contract Number:... http://t.co/A44fJ5i8C7 #job,"profession,#physician,specialty,orthopedic,surgery,region,southwest,oklahoma,contract,#job",can'tsay
" Praying my clinical exam briefing tomorrow will relate to a book I have! C'mon Bowen, Dodd, Paul or Grunwell, do me proud! #slt2b #slpeeps","praying,clinical,exam,briefing,tomorrow,relate,book,amon,bowen,dodd,paul,grunwell,proud,#slt2b,#slpeeps",can'tsay
 ppt on human respiratory system for xth class PPT Templates - http://t.co/RlCbFhfnIG  #ppt #on #human #respiratory #system #for #xth #class,"ppt,human,respiratory,system,xth,class,ppt,templates,#ppt,#,#human,#respiratory,#system,#,#xth,#class",can'tsay
" Polish Man Who Lost Face Gives Thumbs Up To Successful, Life-Saving Emergency Face Transplant http://t.co/IFpWuaNrPA #health #medical","polish,lost,thumbs,successful,life,saving,emergency,transplant,#health,#medical",can'tsay
" Polish Man Who Lost Face Gives Thumbs Up To Successful, Life-Saving Emergency Face Transplant http://t.co/FIXm1YpjF5 #health #medical","polish,lost,thumbs,successful,life,saving,emergency,transplant,#health,#medical",can'tsay
" Polish Man Who Lost Face Gives Thumbs Up To Successful, Life-Saving Emergency Face Transplant http://t.co/E5SEAJhgrD #health #medical","polish,lost,thumbs,successful,life,saving,emergency,transplant,#health,#medical",can'tsay
 Polish man gets quick face transplant in what doctors say was life-saving decision http://t.co/QVMzcuftCH #plasticsurgery,"polish,quick,transplant,doctors,life,saving,decision,#plasticsurgery",can'tsay
 Polish man gets quick face transplant after injury http://t.co/Azrr1GMkSf #plasticsurgery,"polish,quick,transplant,injury,#plasticsurgery",can'tsay
" Plz RT This w/e Kellen Surette is undergoing a #stemcell transplant. He's 7 &amp; from #GlaceBay, NS. http://t.co/qzqjCwWkuc  #aRTwouldROCK","plz,kellen,surette,undergoing,#stemcell,transplant,#glacebay,ns,#artwouldrock",can'tsay
 Plank of shots #repost #seniors #sportsweekend #armenians #canadatzeeboys #latergram #shots #love… http://t.co/D3ojL82eXL,"plank,shots,#repost,#seniors,#sportsweekend,#armenians,#canadatzeeboys,#latergram,#shots,#love…",can'tsay
 Physical Therapy Massages heal more than just muscles. Book online today: http://t.co/8HuD9tjUwg #sf #physicaltherapy #rehab #injury #sports,"physical,therapy,massages,heal,muscles,book,online,#sf,#physicaltherapy,#rehab,#injury,#sports",can'tsay
 Photo: Up early #rehab wit @iamdiddy &amp; @realdjwhookid at least the music will be good. http://t.co/969rQ6n0o2,"photo,#rehab,wit,music",can'tsay
 Photo: So its a boy! #Baby#son#father#padre#dad#ultrasound#birth#hospital#Romeo#Jayden#Ambrosio http://t.co/3UsuDiJSrc,"photo,boy,#baby#son#father#padre#dad#ultrasound#birth#hospital#romeo#jayden#ambrosio",can'tsay
 Photo: Me and @finer__things today at adventure landing #Senior #Activity #Adventure #Landing #Cute #Braves... http://t.co/A55w5T4YDh,"photo,adventure,landing,#senior,#activity,#adventure,#landing,#cute,#braves",can'tsay
" Perform a Set of Tasks, Wait 2 Weeks and Post-Test Your Mental Performance http://t.co/B99QimVOgF #nutrition","perform,set,tasks,wait,weeks,post,test,mental,performance,#nutrition",can'tsay
" Perform a Set of Tasks, Wait 2 Weeks and Post-Test Your Mental Performance http://t.co/B99QimVOgF #nutrition","perform,set,tasks,wait,weeks,post,test,mental,performance,#nutrition",can'tsay
" Perform a Set of Tasks, Wait 2 Weeks and Post-Test Your Mental Performance http://t.co/agUhKlLMWN #nutrition","perform,set,tasks,wait,weeks,post,test,mental,performance,#nutrition",can'tsay
 Patients can teach us so much. Here are 4 life lessons: http://t.co/AjGuiUlB9e #RespiratoryTherapy #OccupationalTherapy,"patients,teach,life,lessons,#respiratorytherapy,#occupationaltherapy",can'tsay
 Patients are happier when #healthcare professionals are happier http://t.co/71a1xymVzl #PhysicalTherapy #OTpeeps,"patients,happier,#healthcare,professionals,happier,#physicaltherapy,#otpeeps",can'tsay
" Paediatric Occupational Therapist-Shropshire-Shropshire-Sanctuary Social Care #occupationaltherapy, #physicaltherapy http://t.co/XSwQz8Sz2A","paediatric,occupational,therapist,shropshire,shropshire,sanctuary,social,care,#occupationaltherapy,#physicaltherapy",can'tsay
 P.S. This #Psych exclusive clip has the line \your fingers are like magical baby wieners,"#psych,exclusive,clip,line,fingers,magical,baby,wieners",can'tsay
 Out-of-hours talks could begin within weeks  --&gt; surprise for those who thought @Jeremy_Hunt was not serious #nhs http://t.co/01jl5dADkg,"hours,talks,begin,weeks,gt,surprise,hunt,serious,#nhs",can'tsay
" Our wireless personal emergency response system enables users to get help, fast! http://t.co/va5vFZyFcg | #telehealth #mhealth","wireless,personal,emergency,response,system,enables,users,help,fast,#telehealth,#mhealth",can'tsay
 Our nutritional needs are species wide &amp; species specific. The human genome is the human genome. That’s our blueprint. #paleo #nutrition,"nutritional,species,wide,species,specific,human,genome,human,genome,’,blueprint,#paleo,#nutrition",can'tsay
 Our baby in 3D :) #loveatfirstsight #3D #ultrasound #baby #beautiful #boyorgirl #cantwait http://t.co/fggtcG3cbi,"baby,#loveatfirstsight,#3d,#ultrasound,#baby,#beautiful,#boyorgirl,#cantwait",can'tsay
 Our #maternalhealth project in Kenya is training CHWs but also improving linkages with primary care system #1MCHWs #COTR_Intl,"#maternalhealth,project,kenya,training,chws,improving,linkages,primary,care,system,#1mchws,#cotr,intl",can'tsay
" Orientation was great, can't wait to volunteer #physicaltherapy","orientation,wait,volunteer,#physicaltherapy",can'tsay
 Organ Donor Law May Keep Sarah Murnaghan From Getting The Life-Saving Lung Transplant She Needs http://t.co/wD8M9W7KoK #health #medical,"organ,donor,law,sarah,murnaghan,getting,life,saving,lung,transplant,#health,#medical",can'tsay
 One more year. #senior #Classof2014 http://t.co/fzj2V5q9To,"#senior,#classof2014",can'tsay
 One Four #seniors,#seniors,can'tsay
 On route to the Emerald Isle today to interview #Procurement specialists for a #Pharma Client setting up a new office in #Dublin #li,"route,emerald,isle,interview,#procurement,specialists,#pharma,client,setting,office,#dublin,#li",can'tsay
 On our way to fucc up #REHAB mrxpensivecrip &amp; @mrxpensivecrip http://t.co/ONJQBRsYgB,"fucc,#rehab,mrxpensivecrip",can'tsay
" On May 29, if you’re in L.A., turn to #Univision at 6 am for #marfan information featuring Dr. Bowen from #MayoClinic  #2013marfanconf","’re,#univision,#marfan,information,featuring,dr,bowen,#mayoclinic,#2013marfanconf",can'tsay
" Occupational Therapist, London - London and the east - SJB Medical #occupationaltherapy, #physicaltherapy http://t.co/V4NVQ04BHy","occupational,therapist,london,london,east,sjb,medical,#occupationaltherapy,#physicaltherapy",can'tsay
 Obvious why gov wld not publish risk report before bill ratified - the #nhs bill wld have been thrown out - one wld hope! #USAherewecome,"obvious,gov,wld,publish,risk,report,bill,ratified,#nhs,bill,wld,thrown,wld,hope,#usaherewecome",can'tsay
 NW Line - What to expect during a #ultrasound in the last weeks of #pregnancy http://t.co/1YThenM5WE,"nw,line,expect,#ultrasound,weeks,#pregnancy",can'tsay
 Nursing Jobs: RN - Professional Development Coordinator - CPPD Job: Professional Development/Fund... http://t.co/exyKZxP9oh #nurse #jobs,"nursing,jobs,rn,professional,development,coordinator,cppd,job,professional,development,fund,#nurse,#jobs",can'tsay
" Nurse Practitioner - Baylor Health Care System: ( #DALLAS , TX) http://t.co/Ujq8Rwll56 #Nursing #Job #Jobs #TweetMyJobs place <tweepy.models.Place object at 0x01EB4350> coordinates {u'type': u'Point', u'coordinates': [-96.769923, 32.802955]}","nurse,practitioner,baylor,health,care,system,#dallas,tx,#nursing,#job,#jobs,#tweetmyjobs,type",can'tsay
 Number of people seeking emergency treatment after consuming energy drinks had doubled compared to 4 years ago #thyroid,"people,seeking,emergency,treatment,consuming,energy,drinks,doubled,compared,ago,#thyroid",can'tsay
 Now my muscles are burning #physicaltherapy lol,"muscles,burning,#physicaltherapy,lol",can'tsay
 NOVA Medical Centers Offering New Industrial Medicine Services - PR Web (press release) http://t.co/uqn37CMLBG #medical #drug,"nova,medical,centers,offering,industrial,medicine,services,pr,web,press,release,#medical,#drug",can'tsay
" Nothing like ice and a little #electroshock to get your weekend going. #physicaltherapy #neverstop… http://t.co/xoeie91mcf place <tweepy.models.Place object at 0x027918D0> coordinates {u'type': u'Point', u'coordinates': [-115.1097304, 35.99839296]}","ice,little,#electroshock,weekend,#physicaltherapy,#neverstop…,type",can'tsay
 Not only were systems incompatible Microsoft warned them not to buy system as suppliers backup system was incompatible with exchange. #nhs,"systems,incompatible,microsoft,warned,buy,system,suppliers,backup,system,incompatible,exchange,#nhs",can'tsay
 Nonsurgical treatments of POP include: Pelvic Floor Exercises/ #Kegels or Pessary http://t.co/r79WspyNml #UCLAMDChat,"nonsurgical,treatments,pop,include,pelvic,floor,exercises,#kegels,pessary,#uclamdchat",can'tsay
 Nice 'N Easy http://t.co/RRCeHHuwfG  #mentalhealth,"nice,easy,#mentalhealth",can'tsay
" Niagara Health System: Registered Nurse - Complex Care ( #OntarioJobs, ON) http://t.co/1CD50v4GPD #Nursing #nhscareers #Job #Jobs","niagara,health,system,registered,nurse,complex,care,#ontariojobs,#nursing,#nhscareers,#job,#jobs",can'tsay
" Newest #PersonCenteredHealthCare column: improve #PatientExperience by improving care, via @nicolaziady - http://t.co/spt80rmygX","#personcenteredhealthcare,column,improve,#patientexperience,improving,care,via",can'tsay
 New article http://t.co/eRs2gHFEQt #thyroid #health,"article,#thyroid,#health",can'tsay
 Never have I struggled with a 2 lb weight #physicaltherapy,"struggled,lb,weight,#physicaltherapy",can'tsay
 Never count yourself out because other people will. ~ Deborah via #MentalHealth Talk http://t.co/c5p9IO25GF,"count,people,deborah,via,#mentalhealth,talk",can'tsay
 Neutrophil elastase activity in BAL fluid is a good diagostic tool in cystic fibrosis #medicine #6ebeya1982 #??,"neutrophil,elastase,activity,bal,fluid,diagostic,tool,cystic,fibrosis,#medicine,#6ebeya1982,#",can'tsay
 neurontin #Pills #pharmacy #health http://t.co/m1JXMlqY4s,"neurontin,#pills,#pharmacy,#health",can'tsay
 Neuroendoscopy - Minimally Invasive Treatment: UCLA Neurosurgery http://t.co/l4jp3vD3Y4 #UCLA #neurosurgery,"neuroendoscopy,minimally,invasive,treatment,ucla,neurosurgery,#ucla,#neurosurgery",can'tsay
 Natural Disaster Response http://t.co/WgJpMnnqy6 #pharmacy #health,"natural,disaster,response,#pharmacy,#health",can'tsay
 My time will come #patient,"time,#patient",can'tsay
 My men at Fridays doctors appt!!!! #my #men #love #baby #boy #24wks #ultrasound @fatboi0819 @Tay_G85 http://t.co/mSJAXI8EuD,"fridays,doctors,appt,#,#,#love,#baby,#boy,#24wks,#ultrasound,g85",can'tsay
 My last Friday as a #CassTech #Senior we out here! #2013 http://t.co/sK35Akt8FY,"friday,#casstech,#senior,#2013",can'tsay
 My girls!!! @Hannah5r @BekahSwaim #sleepover #seniors #lazy http://t.co/9iQXVGI4yW,"girls,#sleepover,#seniors,#lazy",can'tsay
 My doctor is so much cooler  then yours :) #orthopedic #surgeon  #check #up #love #him http://t.co/6x6da9R18S,"doctor,cooler,#orthopedic,#surgeon,#check,#,#love,#",can'tsay
" My CEO Diary is out http://t.co/pKILqKNllg - compassionate care, @DyingMatters #psc2013, integrated care #nhs #nhssm @heartofengland","ceo,diary,compassionate,care,#psc2013,integrated,care,#nhs,#nhssm",can'tsay
 My aunt in the ultrasound room finding out the gender of my cousin and its a GIRL!! #baby #ultrasound #yay ... https://t.co/E8MR9An8iP,"aunt,ultrasound,finding,gender,cousin,girl,#baby,#ultrasound,#yay,https,e8mr9an8ip",can'tsay
 MT @tannusquatre: Exclnt @StepAndSpine #PhysicalTherapy Press Write-Up via @VantageClinical http://t.co/8ozHAjzC8I #HappyFeet,"mt,exclnt,#physicaltherapy,press,write,via,#happyfeet",can'tsay
 More sterling necklaces! #shopsmall #boutique #sterlingsilver #fashion #pinkjewels #senior… http://t.co/JLIrLgHJEG,"sterling,necklaces,#shopsmall,#boutique,#sterlingsilver,#fashion,#pinkjewels,#senior…",can'tsay
 More sterling necklaces! #shopsmall #boutique #sterlingsilver #fashion #pinkjewels #senior #sweetsixteen #bow... http://t.co/MpDjosxLVn,"sterling,necklaces,#shopsmall,#boutique,#sterlingsilver,#fashion,#pinkjewels,#senior,#sweetsixteen,#bow",can'tsay
 Moms: Jogging with a Stroller? Here is How to Prevent Aches and Pains? http://t.co/il37eM18VA #PhysicalTherapy #PelvicMafia #NewMOms,"moms,jogging,stroller,prevent,aches,pains,#physicaltherapy,#pelvicmafia,#newmoms",can'tsay
 Missouri Legislative News | Citizens Commission on Human Rights of St. Louis http://t.co/7OqXmqbSbb #cchr #psychiatry,"missouri,legislative,news,citizens,commission,human,rights,st,louis,#cchr,#psychiatry",can'tsay
 Miam #Nutrition http://t.co/xwJUy3kufY,"miam,#nutrition",can'tsay
 Me&amp; @Bite_My_Naya Bouta Have 231 On Smash #Seniors ????,"naya,bouta,smash,#seniors",can'tsay
 me and my bitches to old and to classy for the bs ... #seniors #2014 ..,"bitches,classy,bs,#seniors,#2014",can'tsay
 Maybe I can get a border collie for free #NHS MT @DiscoverMag: Effect of petting a dog on immune system http://t.co/HtIAm89chd @srslyscience,"maybe,border,collie,free,#nhs,mt,effect,petting,dog,immune,system",can'tsay
" Matthew my #son #baby #mamasboy #love #spoiled missing #teeth matthew_hitman @ Grand-parents House http://t.co/mO5l7lUlPe place <tweepy.models.Place object at 0x01D743D0> coordinates {u'type': u'Point', u'coordinates': [-121.86799393, 37.40729006]}","matthew,#son,#baby,#mamasboy,#love,#spoiled,missing,#teeth,matthew,hitman,grand,parents,house,type",can'tsay
 Maryland Gastroenterologist for Digestive Problems http://t.co/oDKBGWN6uw via @GagayMedStudent #Health #Medicine,"maryland,gastroenterologist,digestive,via,#health,#medicine",can'tsay
 Maryland Gastroenterologist for Digestive Problems http://t.co/LqWXTHhVLt #Health #Medicine,"maryland,gastroenterologist,digestive,#health,#medicine",can'tsay
 Maryland Gastroenterologist for Digestive Problems http://t.co/guUeb2NUuP #Health #Medicine,"maryland,gastroenterologist,digestive,#health,#medicine",can'tsay
 MAP: State Demonstration Proposals to Integrate Care &amp; Financing for Dual Eligible Beneficiaries http://t.co/snN4qGBoSM #medicaid #medicare,"map,demonstration,proposals,integrate,care,financing,dual,eligible,beneficiaries,#medicaid,#medicare",can'tsay
 manforce #Pills #pharmacy #health http://t.co/IdslwjAGxU,"manforce,#pills,#pharmacy,#health",can'tsay
 Main hall was complete madness at 2:05 #seniors,"main,hall,complete,madness,#seniors",can'tsay
" Madness, Heresy, and the Rumor of Angels:   The Revolt Against the Mental Health System #psychiatry  http://t.co/0M9J1BZ3jc","madness,heresy,rumor,angels,revolt,mental,health,system,#psychiatry",can'tsay
 Macy its more powerful than UW PURP #medical,"macy,powerful,uw,purp,#medical",can'tsay
 Lowell Green discussing cuts to physio on @CFRAOttawa right now. RT and call in to support awareness! #onpoli #seniors,"lowell,green,discussing,cuts,physio,call,support,awareness,#onpoli,#seniors",can'tsay
 Low back pain?  Try these simple stretches. #BestInRehab #PhysicalTherapy http://t.co/JlmjH2Z5wS,"low,pain,try,simple,stretches,#bestinrehab,#physicaltherapy",can'tsay
 Love the @EminenceOrganic Age Corrective Night collection w/ #argan #stemcell complex! My skin feels fabulous! http://t.co/MV3Levu6Pm,"love,age,corrective,night,collection,#argan,#stemcell,complex,skin,feels,fabulous",can'tsay
 Love shopping #therapy,"love,shopping,#therapy",can'tsay
" Love &amp; prayers for 7 y o Keller Surette from #GlaceBay, NS undergoing a #stemcell transplant. http://t.co/8TAqvVEZBU #aRTwouldROCK” #Healing place <tweepy.models.Place object at 0x01D74410> coordinates {u'type': u'Point', u'coordinates': [-75.71238396, 45.35575629]}","love,prayers,keller,surette,#glacebay,ns,undergoing,#stemcell,transplant,#artwouldrock,#healing,type",can'tsay
" Love &amp; prayers for 7 y o Kellen Surette from #GlaceBay NS undergoing #stemcell transplant http://t.co/8TAqvVEZBU #aRTwouldROCK” #Healing place <tweepy.models.Place object at 0x01D74410> coordinates {u'type': u'Point', u'coordinates': [-75.71261954, 45.35582362]}","love,prayers,kellen,surette,#glacebay,ns,undergoing,#stemcell,transplant,#artwouldrock,#healing,type",can'tsay
" Looking forward to interviewing Beth Ulrich, EdD, RN about safe #nurse work environments #NTI2013 @AACNme","looking,forward,interviewing,beth,ulrich,edd,rn,safe,#nurse,environments,#nti2013",can'tsay
" Locum CT/MRI radiographer  - Bournemouth - MedicsPro Ltd #occupationaltherapy, #physicaltherapy http://t.co/OPSF7fWC6p","locum,ct,mri,radiographer,bournemouth,medicspro,ltd,#occupationaltherapy,#physicaltherapy",can'tsay
" Loaded up on #Pharma again this week, after getting almost out completely a few weeks ago.","loaded,#pharma,week,getting,completely,weeks,ago",can'tsay
 Live advanced endoscopy study day - News Press Release | http://t.co/YWF9u26pqs http://t.co/uGwWX1HGh5 #pharmacy #pharmiweb,"live,advanced,endoscopy,study,day,news,press,release,#pharmacy,#pharmiweb",can'tsay
 Little peanut #littlepeanut #ultrasound #baby #6weeks #somuchbiggernow http://t.co/TBzZmntJll,"little,peanut,#littlepeanut,#ultrasound,#baby,#6weeks,#somuchbiggernow",can'tsay
" Listen to Gregg Foos, MD  talk about Shoulder Instability  http://t.co/NAQKGtnI6V. #Newjersey #Orthopedic #physicaltherapy","listen,gregg,foos,md,talk,shoulder,instability,#newjersey,#orthopedic,#physicaltherapy",can'tsay
" Listen to Gregg Foos, MD  talk about Shoulder Instability  http://t.co/NAQKGtnI6V  . #Orthopedic  #physicaltherapy  #Newjersey","listen,gregg,foos,md,talk,shoulder,instability,#orthopedic,#physicaltherapy,#newjersey",can'tsay
" Listen to Gregg Foos, MD  talk about Shoulder Instability  http://t.co/NAQKGtnI6V  . #Newjersey   #Orthopedic #physicaltherapy","listen,gregg,foos,md,talk,shoulder,instability,#newjersey,#orthopedic,#physicaltherapy",can'tsay
" Listen to Gregg Foos, MD  talk about Shoulder Instability  http://t.co/NAQKGtnI6V   . #Orthopedic  #physicaltherapy  #Newjersey","listen,gregg,foos,md,talk,shoulder,instability,#orthopedic,#physicaltherapy,#newjersey",can'tsay
" Listen to Gregg Foos, MD  talk about Shoulder Instability  http://t.co/MzeElIrybT . #Newjersey #Orthopedic #physicaltherapy","listen,gregg,foos,md,talk,shoulder,instability,#newjersey,#orthopedic,#physicaltherapy",can'tsay
" Listen to Gregg Foos, MD  talk about Shoulder Instability  http://t.co/MzeElIrybT  . #Orthopedic  #physicaltherapy  #Newjersey","listen,gregg,foos,md,talk,shoulder,instability,#orthopedic,#physicaltherapy,#newjersey",can'tsay
" Listen to Gregg Foos, MD  talk about Shoulder Instability  http://t.co/MzeElIrybT  . #Newjersey   #Orthopedic #physicaltherapy","listen,gregg,foos,md,talk,shoulder,instability,#newjersey,#orthopedic,#physicaltherapy",can'tsay
" Listen to Gregg Foos, MD  talk about Shoulder Instability  http://t.co/MzeElIrybT   . #Orthopedic  #physicaltherapy  #Newjersey","listen,gregg,foos,md,talk,shoulder,instability,#orthopedic,#physicaltherapy,#newjersey",can'tsay
" Listen to Gregg Foos, MD  talk about Shoulder Instability  http://t.co/kzc49LsTGt . #Orthopedic  #physicaltherapy  #Newjersey","listen,gregg,foos,md,talk,shoulder,instability,#orthopedic,#physicaltherapy,#newjersey",can'tsay
" Listen to Gregg Foos, MD  talk about Shoulder Instability  http://t.co/kzc49LsTGt . #Newjersey #Orthopedic #physicaltherapy","listen,gregg,foos,md,talk,shoulder,instability,#newjersey,#orthopedic,#physicaltherapy",can'tsay
" Listen to Gregg Foos, MD  talk about Shoulder Instability  http://t.co/kzc49LsTGt  . #Newjersey   #Orthopedic #physicaltherapy","listen,gregg,foos,md,talk,shoulder,instability,#newjersey,#orthopedic,#physicaltherapy",can'tsay
" Listen to Gregg Foos, MD  talk about Shoulder Instability  http://t.co/kzc49LsTGt   . #Orthopedic  #physicaltherapy  #Newjersey","listen,gregg,foos,md,talk,shoulder,instability,#orthopedic,#physicaltherapy,#newjersey",can'tsay
" Listen to  Gregg Foos, MD  Talk about Shoulder Instability  http://t.co/MzeElIrybT      #Orthopedic  #physicaltherapy  #Newjersey","listen,gregg,foos,md,talk,shoulder,instability,#orthopedic,#physicaltherapy,#newjersey",can'tsay
" Listen to  Gregg Foos, MD  Talk about Shoulder Instability  http://t.co/MzeElIrybT       #Orthopedic  #physicaltherapy  #Newjersey","listen,gregg,foos,md,talk,shoulder,instability,#orthopedic,#physicaltherapy,#newjersey",can'tsay
" Listen to  Gregg Foos, MD  Talk about Shoulder Instability  http://t.co/kzc49LsTGt      #Orthopedic  #physicaltherapy  #Newjersey","listen,gregg,foos,md,talk,shoulder,instability,#orthopedic,#physicaltherapy,#newjersey",can'tsay
" Listen to  Gregg Foos, MD  Talk about Shoulder Instability  http://t.co/kzc49LsTGt       #Orthopedic  #physicaltherapy  #Newjersey","listen,gregg,foos,md,talk,shoulder,instability,#orthopedic,#physicaltherapy,#newjersey",can'tsay
