tweets,cleaned tweets,
 Our blog on LIMBS ALIVE - a game to aid those who have suffered a stroke: http://t.co/AtjCtrg2qn #mrx #Games #Healthcare #newmr #research,"blog,limbs,alive,game,aid,suffered,stroke,#mrx,#games,#healthcare,#newmr,#research",Medical
" Our article on #TB #diagnostics, 2nd line #TB tx in #India &amp; #bioethics http://t.co/MBVJx9j2uQ @tribalnevin @TBPartnersIndia @shells1857","article,#tb,#diagnostics,line,#tb,tx,#india,#bioethics",Medical
" Our artcle on #TB #diagnostics,2nd line #TB tx in #India &amp; #bioethics http://t.co/MBVJx9j2uQ @bobbyramakant @StopTB @TBmanifesto @TBbrigden","artcle,#tb,#diagnostics,line,#tb,tx,#india,#bioethics",Medical
" Our $79 #dental special includes comprehensive exams, xrays, routine cleaning &amp; free whitening. Call to schedule your next appointment!","#dental,special,includes,comprehensive,exams,xrays,routine,cleaning,free,whitening,call,schedule,appointment",Medical
 Our #healthychat starts at 8pmEST. Tonight's topic is #fertility See you soon.,"#healthychat,starts,tonight,topic,#fertility,soon",Medical
" Our #Healthcare Specialist is Kate Baines, who is particularly successful in #selling Domiciliary Care Agencies http://t.co/3Pf0lyWOwG","#healthcare,specialist,kate,baines,particularly,successful,#selling,domiciliary,care,agencies",Medical
 Our #BetterBean team is traveling the Northwest this weekend to share #vegan #glutenfree goodness at @eatvancouver &amp; @VidaVeganCon #vvc2013,"#betterbean,team,traveling,northwest,weekend,share,#vegan,#glutenfree,goodness,#vvc2013",Medical
 Ouch... Healthcare premiums for a typical family of four are 6.5% higher this year than they were in 2012 http://t.co/MtaFUHKTKb #healthcare,"ouch,healthcare,premiums,typical,family,#healthcare",Medical
 Ouch. #blood #doctor #needle http://t.co/XXohliu4Uw,"ouch,#blood,#doctor,#needle",Medical
 Ouch! Two shots and a pricked finger?! Get me outta here! #Doctors,"ouch,shots,pricked,finger,outta,#doctors",Medical
" Ouch!  My legs are in so much pain, too many lunges, lol. #getfit","ouch,legs,pain,lunges,lol,#getfit",Medical
 Ouch #needles #acupuncture ?? http://t.co/wt1KUYa94w,"ouch,#needles,#acupuncture",Medical
 Oswego (NY) Daily News:  St. Luke Adult Day Health Care Program Hosts Blood Drive . More #HealthCare #news - http://t.co/LE6O90zfLz,"oswego,ny,daily,news,st,luke,adult,day,health,care,program,hosts,blood,drive,#healthcare,#news",Medical
 Orphan Drugs and Sample Sizes: What to know! http://t.co/XVZjE2SefV #orphandrug #clinicaltrials,"orphan,drugs,sample,sizes,#orphandrug,#clinicaltrials",Medical
 Origination clause challenges to PPACA soon to be considered by the 4th Circuit and the... #HealthCare - http://t.co/OyEMA3KPJy,"origination,clause,challenges,ppaca,soon,considered,circuit,#healthcare",Medical
 Organic Chinese herbs! Sign up for your wholesale account today acupuncturists! http://t.co/YjcZbZrDYa #acupuncture,"organic,chinese,herbs,sign,wholesale,account,acupuncturists,#acupuncture",Medical
 Organic Chinese herbs! Sign up for your wholesale account acupuncturists! http://t.co/YjcZbZrDYa #acupuncture,"organic,chinese,herbs,sign,wholesale,account,acupuncturists,#acupuncture",Medical
" Oregon's 2014 health premium filings spark relief, questions via Oregonian #HIX #HIM #ACA #Insurance http://t.co/myA3lJWQBX","oregon,health,premium,filings,spark,relief,questions,via,oregonian,#hix,#,#aca,#insurance",Medical
 Oregon posts 2014 rate requests http://t.co/uqYZ9I3xXd (via @LifeHealthPro) http://t.co/uqYZ9I3xXd #aca #ppaca #healthreform #obamacare,"oregon,posts,rate,requests,via,#aca,#ppaca,#healthreform,#obamacare",Medical
" Oregon posted the proposed rates for #HIX plans, prompting more #health plans to try to lower costs. Well done... http://t.co/vJbQosMeoT","oregon,posted,proposed,rates,#hix,plans,prompting,#health,plans,try,lower,costs",Medical
" Oregon posted the proposed rates for #HIX plans, prompting more #health plans to try to lower costs. Well done! http://t.co/3eORpJLTjC #ACA","oregon,posted,proposed,rates,#hix,plans,prompting,#health,plans,try,lower,costs,#aca",Medical
 Oregon may be the White House’s favorite health exchange: http://t.co/lElYCXzM2D #HIX #HIXSummit,"oregon,white,house’,favorite,health,exchange,#hix,#hixsummit",Medical
 Oregon health insurance companies get competitive in the #HIX: via @sarahkliff  http://t.co/1KXTDBKXXp,"oregon,health,insurance,companies,competitive,#hix,via",Medical
 Ordinary search engine users carrying out complex search tasks http://t.co/hJLtbg2NrS #Meded #CMEchat #NLAresearch,"ordinary,search,engine,users,carrying,complex,search,tasks,#meded,#cmechat,#nlaresearch",Medical
 Ordering my white coat today is surreal.  Now if only it came in pink... #Medschool #whitecoat #DOctor #prettystrongmed,"white,coat,surreal,pink,#medschool,#whitecoat,#doctor,#prettystrongmed",Medical
 Order UR copy of Presentation Skills 4 Fire &amp; EMS Leaders today and deliver better presentations tomorrow! http://t.co/3Owt8StJLS #fire #EMS,"ur,copy,presentation,skills,fire,ems,leaders,deliver,presentations,tomorrow,#fire,#ems",Medical
" Order of treatment in acute glaucoma: timolol, acetazolamide, pilocarpine. #foamed #MEDed #ABIM","treatment,acute,glaucoma,timolol,acetazolamide,pilocarpine,#foamed,#meded,#abim",Medical
 Order anything from BHC now through Memorial Day and 10% goes to #Oklahoma tornado relief efforts. #beahero,"bhc,memorial,day,goes,#oklahoma,tornado,relief,efforts,#beahero",Medical
" Orb's #TripleCrown dreams were dashed, but Coloradoans can feel like #healthcare winners, thx to @C4HCO #ACA http://t.co/UWkpzqDqDo","orb,#triplecrown,dreams,dashed,coloradoans,feel,#healthcare,winners,thx,#aca",Medical
 OrbiMed Advisors to invest in Asian... http://t.co/xecsQ3n7wE #AsiaPacific #China #Healthcare #India #InvestmentManagement #Investments,"orbimed,advisors,invest,asian,#asiapacific,#china,#healthcare,#india,#investmentmanagement,#investments",Medical
 Oral Hygiene and Your Overall Health http://t.co/iGZd39yDiR #dentalcare #dentistry #dentists #oralcare #oralhygiene,"oral,hygiene,overall,health,#dentalcare,#dentistry,#dentists,#oralcare,#oralhygiene",Medical
 Oral B Ortho Brushhead  #toothbrush  #dentist      #OralB,"oral,ortho,brushhead,#toothbrush,#dentist,#oralb",Medical
 Oral B GLIDE Floss Picks 30ct  #toothbrush  #dentist      #OralB,"oral,glide,floss,picks,#toothbrush,#dentist,#oralb",Medical
 Oral B CrossAction Pro-Health Toothbrush 40 Regular Medium  #toothbrush  #dentist      #OralB,"oral,crossaction,pro,health,toothbrush,regular,medium,#toothbrush,#dentist,#oralb",Medical
 Oral B Cavity Defense Toothbrush Medium  #toothbrush  #dentist      #OralB,"oral,cavity,defense,toothbrush,medium,#toothbrush,#dentist,#oralb",Medical
 Oral B Advantage Control Grip 40 Regular Soft  #toothbrush  #dentist      #OralB,"oral,advantage,control,grip,regular,soft,#toothbrush,#dentist,#oralb",Medical
 Oral B Advantage Artica  #toothbrush  #dentist      #OralB,"oral,advantage,artica,#toothbrush,#dentist,#oralb",Medical
 Opportunity!  &gt; 98% of online health discussions involve no #healthcare professionals. http://t.co/TEdpSg3AAO #HCSM #socialmedia @DrKimMD,"opportunity,gt,online,health,discussions,involve,#healthcare,professionals,#hcsm,#socialmedia",Medical
 Ophthalmology eNews: #FDA approvals galore | Bio-optics triple threat | Light-activatable molecule for #AMD | More: http://t.co/CitOtT4eQ9,"ophthalmology,enews,#fda,approvals,galore,bio,optics,triple,threat,light,activatable,molecule,#amd",Medical
" Opening Day, Weds, June 12, 4-7 pm. #Colchester #VT Food Preview #GlutenFree #BakedGoods UC of Colchester bakers! http://t.co/BlZmElHqo5","day,weds,june,pm,#colchester,#vt,food,preview,#glutenfree,#bakedgoods,uc,colchester,bakers",Medical
 OpenEMR from a security perspective is a disaster.  #openemr #EMR #EHR #medicalrecords #hospital #healthcare #ouch http://t.co/LtdQyeF0wL,"openemr,security,perspective,disaster,#openemr,#emr,#ehr,#medicalrecords,#hospital,#healthcare,#ouch",Medical
 Open communication &amp; concise targets for patients are keys to achieve wellness through #Mobility http://t.co/dvMgWg1QzH #Healthcare #CTRLive,"communication,concise,targets,patients,keys,achieve,wellness,#mobility,#healthcare,#ctrlive",Medical
" Open #healthcare management seminar: Citizen-Centred Healthcare: Implications for #NHS Management 31May13, Stirling http://t.co/b6ErqE9iwZ","#healthcare,management,seminar,citizen,centred,healthcare,implications,#nhs,management,stirling",Medical
 Op/ed in @Forbes: Debunking ‘the big lie’ about genetically engineered http://t.co/TWzudtCdBL | #GMO #Biotech,"op,ed,debunking,‘,lie’,genetically,engineered,#gmo,#biotech",Medical
" Oops, one of my canines is getting loose! #Dentist please! http://t.co/c8haBdDnfF","oops,canines,getting,loose,#dentist,please",Medical
 Oooh i have a mouth #dentist #numb,"oooh,mouth,#dentist,#numb",Medical
 Ontario health care spending going up 2.3%?  http://t.co/e1zdIEUGDH #onpoli #cdnhealth  It's really much less...,"ontario,health,care,spending,#onpoli,#cdnhealth",Medical
 Only Real Niggas #HHS,"real,niggas,#hhs",Medical
 Only One Week Left to Enter PILOT @HealthTechNYC! http://t.co/Nlmd5241Cr #digitalhealth #healthtech #mhealth #healthIT,"week,left,enter,pilot,#digitalhealth,#healthtech,#mhealth,#healthit",Medical
 Only One Week Left to Enter PILOT @HealthTechNYC! | @StartUpHealth http://t.co/VtkxjxqJlI #digitalhealth #healthtech #mhealth #healthIT,"week,left,enter,pilot,#digitalhealth,#healthtech,#mhealth,#healthit",Medical
 Only One Week Left to Enter PILOT @HealthTechNYC! | @StartUpHealth http://t.co/Hnvu0quZbb #digitalhealth #healthtech #mhealth #healthIT,"week,left,enter,pilot,#digitalhealth,#healthtech,#mhealth,#healthit",Medical
 Only one more day left as a freshman! Sophomore year here I come! #HHS #Hawks #Sophomore #NoLongerAFreshman,"day,left,freshman,sophomore,#hhs,#hawks,#sophomore,#nolongerafreshman",Medical
 Only a couple more weeks till #NYSAFC 107th Annual Conference -  http://t.co/5zdo9zoB8j #firefighters #ems #tshirts,"couple,weeks,till,#nysafc,annual,conference,#firefighters,#ems,#tshirts",Medical
" Only a couple days left to show your appreciation for #EMSWeek, time to get a #tshirt  http://t.co/s1RuiJGLqj #firefighter #ems","couple,days,left,appreciation,#emsweek,time,#tshirt,#firefighter,#ems",Medical
 Only 8 Spaces left for our next #IAPAM #Botox Training program taking place June 15-15. More info: http://t.co/eUqh3VDHYq,"spaces,left,#iapam,#botox,training,program,taking,june,info",Medical
 Only 57% of HIV+ pregnant women worldwide are receiving ARVs to prevent MTCT #GHMatters #globalhealth,"hiv,pregnant,women,worldwide,receiving,arvs,prevent,mtct,#ghmatters,#globalhealth",Medical
" Only 5 weeks till our opening! We're excited to offer you #reflexology #massage #chiropractic #physiotherapy and more! place <tweepy.models.Place object at 0x01EA3750> coordinates {u'type': u'Point', u'coordinates': [-79.88677832, 43.25277628]}","weeks,till,excited,offer,#reflexology,#massage,#chiropractic,#physiotherapy,type",Medical
 Only 5 kids in my class #notdoingshit #cpr http://t.co/ewAmjnVXBd,"kids,class,#notdoingshit,#cpr",Medical
 Only 17% of#patients seeking #clinicaltrials information are motivated by compensation for participation. Ken Getz keynote. #CRSpring,"#patients,seeking,#clinicaltrials,information,motivated,compensation,participation,ken,getz,keynote,#crspring",Medical
 Online video as effective as traditional TV - eMarketer http://t.co/OYqAHrYfGI #hcmktg #hcsm,"online,video,effective,traditional,tv,emarketer,#hcmktg,#hcsm",Medical
" Online Mothers Groups: Powerful, Unheralded Influencers of Family #Healthcare Decisions http://t.co/LKiRBBvLqn #health #hcsm #HIT","online,mothers,powerful,unheralded,influencers,family,#healthcare,decisions,#health,#hcsm,#hit",Medical
" Online Mothers Groups: Powerful, Unheralded Influencers of Family #Healthcare Decisions http://t.co/jaTcjpT83h #Patientengagement","online,mothers,powerful,unheralded,influencers,family,#healthcare,decisions,#patientengagement",Medical
 Online Mothers Groups: Powerful Influencers Of Family #Healthcare Decisions @Forbes @dshaywitz http://t.co/33xSeRDm3b #hcsm,"online,mothers,powerful,influencers,family,#healthcare,decisions,#hcsm",Medical
" Online #moms groups: Powerful, unheralded influencers of family #healthcare choices http://t.co/h1rbE9Fsmh #pamp #bpn #ggmg","online,#moms,powerful,unheralded,influencers,family,#healthcare,choices,#pamp,#bpn,#ggmg",Medical
 Ongoing increase in biotechnology patents reflects innovation in the field: http://t.co/WvAeboBJwu #biotech #patent,"ongoing,increase,biotechnology,patents,reflects,innovation,field,#biotech,#patent",Medical
 One thing leads to another - perfect #health. #Chiropractic #Persistence #Perseverance,"leads,perfect,#health,#chiropractic,#persistence,#perseverance",Medical
 One thing always leads to another. I take care of my #health. #Chiropractic #HealthCare,"leads,care,#health,#chiropractic,#healthcare",Medical
 One of the main profitability concerns for #healthcare providers is the cost of #EHR: http://t.co/xT8G6OuOmD,"main,profitability,concerns,#healthcare,providers,cost,#ehr",Medical
 One of the biggest reasons for not getting an #EHR? The upfront investment: http://t.co/97oFfkxsqE #2013PhysicianStudy via @InformationWeek,"biggest,reasons,getting,#ehr,upfront,investment,#2013physicianstudy,via",Medical
 One of the 5 or 6 to watch from this. “@TEDMED: Is @Lsmarr the #patient of the future? http://t.co/Knj3p2NOZM #TEDMED #greatchallenges”,"watch,#patient,future,#tedmed,#greatchallenges",Medical
 One of the #Coolest #Graduates i know and future #doctor. lol @Deji_roi #follow him,"#coolest,#graduates,future,#doctor,lol,roi,#follow",Medical
 One of my veneers has just chipped ! #gutted #Shit #dentist #toothfairy,"veneers,chipped,#gutted,#shit,#dentist,#toothfairy",Medical
" one of my job statuses has been in review for two days now..i can't wait it, selected or not selected?! #hospital #c'mon","job,statuses,review,days,wait,selected,selected,#hospital,#,amon",Medical
 One Nucleus signs agreement with Bionow to expand access to One Nucleus preferred suppliers:... http://t.co/GzOaZ6N8if #biotech #fb #FDA,"nucleus,signs,agreement,bionow,expand,access,nucleus,preferred,suppliers,#biotech,#fb,#fda",Medical
" One more donation to Cambodia today! $500 down, $3,150 to go!!! I can do this before December!! #SurgicalMission #Cambodia #EMS #EMT #Love","donation,cambodia,december,#surgicalmission,#cambodia,#ems,#emt,#love",Medical
 One Mission. One Team. This year's theme for NATIONAL EMS WEEK. Honor #EMS workers this week &amp; celebrate the #lifesaving services. #swpower,"mission,team,theme,national,ems,week,honor,#ems,workers,week,celebrate,#lifesaving,services,#swpower",Medical
" One mission, one team! #EMS #HEMS #phiairmedical #myEMSday http://t.co/WHTGzv27MZ","mission,team,#ems,#hems,#phiairmedical,#myemsday",Medical
 One key challenge is lack of access. Not enough #mentalhealth services especially prevention and intervention #cymh,"key,challenge,lack,access,#mentalhealth,services,especially,prevention,intervention,#cymh",Medical
 One injection isn't enough to numb me! #dentist #SpartanMotherfucka,"injection,numb,#dentist,#spartanmotherfucka",Medical
 One in five ACT nursing home residents malnourished: http://t.co/klAAzTFDxc #agedcare,"five,act,nursing,home,residents,malnourished,#agedcare",Medical
 One compound from @UNMC diagnoses and kills #cancer. #techtransfer #biotech http://t.co/qoGQQl8phz,"compound,diagnoses,kills,#cancer,#techtransfer,#biotech",Medical
 Oncologist orders CEA colon cancer test for pt with breast cancer? Patient pays for MD error. http://t.co/bQWAYE0nQg #healthcosts,"oncologist,cea,colon,cancer,test,pt,breast,cancer,patient,pays,md,error,#healthcosts",Medical
" Once again, experiencing poor #healthcare no #patientcentred care, no attention to a actual needs! What does #ptsafety actually mean to us?","experiencing,poor,#healthcare,#patientcentred,care,attention,actual,#ptsafety,actually,mean",Medical
 ONC Offers Five Online Training Courses on Interoperability  http://t.co/pT8DWKrqrK #ONC #healthIT #EHR,"onc,offers,five,online,training,courses,interoperability,#onc,#healthit,#ehr",Medical
 ONC Offers Five Online Training Courses on Interoperability  http://t.co/E3hgpOIdbI #ONC #healthIT #EHR,"onc,offers,five,online,training,courses,interoperability,#onc,#healthit,#ehr",Medical
 ONC offers 5 online training courses on #Interoperability #meaningfuluse http://t.co/55zoJTeO55 @ONC_HealthIT #physicians #EHR,"onc,offers,online,training,courses,#interoperability,#meaningfuluse,healthit,#physicians,#ehr",Medical
" ONC Data Brief Looks at RECs Support of PAs, NPs in EHR Adoption http://t.co/kj8QTfXKwI #healthIT,","onc,data,brief,looks,recs,support,pas,nps,ehr,adoption,#healthit",Medical
 On the way to the hospital for the post surgery check up and biopsy results #hospital,"hospital,post,surgery,check,biopsy,results,#hospital",Medical
 On the Third Hand: Unbanked #ACA #PPACA #HCR http://t.co/uJ1ZdiWOU3 (via @LifeHealthPro) http://t.co/uJ1ZdiWOU3,"third,hand,unbanked,#aca,#ppaca,#hcr,via",Medical
" On the stand at #abhealth inquiry is Dr. Alaa Rostom, Medical Director of the Forzani &amp; MacPhail Colon Cancer Screening Centre","stand,#abhealth,inquiry,dr,alaa,rostom,medical,director,forzani,macphail,colon,cancer,screening,centre",Medical
 on the buses with @MindinCroydon today raising #mentalhealthawareness learnt loads about #routemaster bus in exchange #endstigma,"buses,raising,#mentalhealthawareness,learnt,loads,#routemaster,bus,exchange,#endstigma",Medical
 On the ambulance today. Finally blue skies in my part of Oklahoma. #EMT #EMS #Paramedic,"ambulance,finally,blue,skies,oklahoma,#emt,#ems,#paramedic",Medical
 On the #Blog today: @CareCloud #MeaningfulUse Audit Resource Guide - Protect yourself against those auditors! http://t.co/f2LgP6tGzg #EHR,"#blog,#meaningfuluse,audit,resource,guide,protect,auditors,#ehr",Medical
 On that teeth cleanin grind #dentist,"teeth,cleanin,grind,#dentist",Medical
 On that daily workout grind. #getfit,"daily,workout,grind,#getfit",Medical
" On our newsfeed via @NewsMedical \Global health policies and burden of disease on men\"" http://t.co/IG5Ph1nBmk #globalhealth @NextBillionHC""","newsfeed,via,global,health,policies,burden,disease,#globalhealth",Medical
 On our newsfeed via @marissamiley of @Globalpost: Malaria fight at a ‘tipping point'.. http://t.co/deizQQ7hUe #globalhealth @NextBillionHC,"newsfeed,via,malaria,fight,‘tipping,#globalhealth",Medical
 On our newsfeed from @marissamiley of @Globalpost: Malaria fight at a ‘tipping point'.. http://t.co/deizQQ7hUe #globalhealth @NextBillionHC,"newsfeed,malaria,fight,‘tipping,#globalhealth",Medical
" On now with the Late Lunch is Professor Simon Fischel, who's speaking with Gerry about the recent breakthrough in #ivf","late,lunch,professor,simon,fischel,speaking,gerry,recent,breakthrough,#ivf",Medical
 On my way to start some new treatment! #stupidpoorlyskin #hospital,"start,treatment,#stupidpoorlyskin,#hospital",Medical
" On more serious note it is people that have suffered for years with #disease,  that often notice a major difference. http://t.co/kRvcjyg1Bu","serious,note,people,suffered,#disease,notice,major,difference",Medical
" On holiday this week, and I have had toothache since Friday!!! #Rage #ToothAche #WisdomTeeth #Dentist xXx","holiday,week,toothache,friday,#rage,#toothache,#wisdomteeth,#dentist,xxx",Medical
 On hold to speak to Ray Hadley on @2GB873 about ACT Health's anticompetitive employment policy for interns in 2014. #interncrisis,"hold,speak,ray,hadley,act,health,anticompetitive,employment,policy,interns,#interncrisis",Medical
 On blog: What If We Notified Oscar Losers The Same Way We Decline CME Grants? http://t.co/GP5J6mPv8N #CMEchat #meded,"blog,notified,oscar,losers,decline,cme,grants,#cmechat,#meded",Medical
 On a diet forreal this time #salad #culvers #teamfatgirl #iwannabe #teamnotsofatgirl #getfit http://t.co/CsGDAdF3I7,"diet,forreal,time,#salad,#culvers,#teamfatgirl,#iwannabe,#teamnotsofatgirl,#getfit",Medical
 OMW to the #Hospital,"omw,#hospital",Medical
 Omw to #Georgetown #Hospital #Invicta #Venom #mighty_zeus http://t.co/vYwicfrjNz,"omw,#georgetown,#hospital,#invicta,#venom,#mighty,zeus",Medical
 OMG!! Here come the river of years and feels from the #Doctor's speech from #TheRingsOfAkhaten! :'( #DoctorWho,"omg,river,feels,#doctor,speech,#theringsofakhaten,#doctorwho",Medical
 Omg!! &lt;3 &lt;3 #doctorwho #doctor #who #loveit #funny #cool #dr3 http://t.co/zn4rGK7jW6,"omg,lt,lt,#doctorwho,#doctor,#,#loveit,#funny,#cool,#dr3",Medical
 Omg this shit sucks so fucking bad!!! #sick #Hospital #E.R.,"omg,shit,sucks,fucking,bad,#sick,#hospital,#",Medical
 Omg like favorite place to bee.. #doctors http://t.co/h14XIy0wJD,"omg,favorite,bee,#doctors",Medical
 Omg I just got why the tenth Doctors pockets fit so much stuff!! #doctorwho #ten #doctor #tennant,"omg,tenth,doctors,pockets,fit,stuff,#doctorwho,#ten,#doctor,#tennant",Medical
 Omg I hate the dentist #scared #dentist #annoying http://t.co/i8LDmWkFwQ,"omg,hate,dentist,#scared,#dentist,#annoying",Medical
 Omg dying! #wildwood #takingalook #gynecologist #boytshirt @VanessaJones33 @KatieDidIt247 http://t.co/xm0qMFMfRl,"omg,dying,#wildwood,#takingalook,#gynecologist,#boytshirt",Medical
 Omeros to Present at Two Upcoming Conferences http://t.co/vbkUC2edIJ #biotech,"omeros,upcoming,conferences,#biotech",Medical
 Older men should pass on prostate cancer treatment | http://t.co/oIKF0MCBSJ RT @TIMEHealthland #healthcosts,"pass,prostate,cancer,treatment,#healthcosts",Medical
 Old news in a new Cochrane Review! Planned #homebirth is awesome. http://t.co/HSkV7dU43k #birthgenius,"news,cochrane,review,planned,#homebirth,awesome,#birthgenius",Medical
" Ola All, #BGnow 131, Happy Hump Day... Make it Count... #dsma #DOC","ola,#bgnow,happy,hump,day,count,#dsma,#doc",Medical
 Oklahoma's tax dollars belong in Oklahoma. @SenatorSparks get behind #aplanforOK to accept federal funds for #healthcare.,"oklahoma,tax,dollars,belong,oklahoma,#aplanforok,accept,federal,funds,#healthcare",Medical
 Oklahoma's tax dollars belong in Oklahoma. @SenatorRobS get behind #aplanforOK to accept federal funds for #healthcare.,"oklahoma,tax,dollars,belong,oklahoma,#aplanforok,accept,federal,funds,#healthcare",Medical
 Oklahoma's tax dollars belong in Oklahoma. @scottcmartin get behind #aplanforOK to accept federal funds for #healthcare.,"oklahoma,tax,dollars,belong,oklahoma,#aplanforok,accept,federal,funds,#healthcare",Medical
 Oklahoma's tax dollars belong in Oklahoma. @RepEmilyVirgin get behind #aplanforOK to accept federal funds for #healthcare.,"oklahoma,tax,dollars,belong,oklahoma,#aplanforok,accept,federal,funds,#healthcare",Medical
 Oklahoma's tax dollars belong in Oklahoma. @AnthonySykes get behind #aplanforOK to accept federal funds for #healthcare.,"oklahoma,tax,dollars,belong,oklahoma,#aplanforok,accept,federal,funds,#healthcare",Medical
 Oklahoma tornado wrecks hospital http://t.co/pJuLmVsQd3 | #Healthcare Finance News,"oklahoma,tornado,wrecks,hospital,#healthcare,finance,news",Medical
 Oklahoma tornado wrecks hospital http://t.co/HeYPELOMy3 | #Healthcare Finance News,"oklahoma,tornado,wrecks,hospital,#healthcare,finance,news",Medical
 Oklahoma tornado wrecks hospital http://t.co/Bw4XCvX8fs | #Healthcare Finance News,"oklahoma,tornado,wrecks,hospital,#healthcare,finance,news",Medical
 Oklahoma tornado wrecks hospital http://t.co/1JNVYZ9cYc | #Healthcare Finance News,"oklahoma,tornado,wrecks,hospital,#healthcare,finance,news",Medical
" Okay, enough time has now passed that *I* will say it: JOHN HURT! JOHN F--KING HURT! Working hypothesis: Time War #Doctor #DoctorWho","okay,time,passed,john,hurt,john,king,hurt,hypothesis,time,war,#doctor,#doctorwho",Medical
 Ok this defo isn't right #hospital #tonight,"ok,defo,#hospital,#tonight",Medical
 Ok see yoou!!! #Nervous #Dentist :S,"ok,yoou,#nervous,#dentist",Medical
 Ok he's all good now :) gave him a splint and now his arm feels better :)) #healed #hospital… http://t.co/afB4BU9Gls,"ok,splint,arm,feels,#healed,#hospital…",Medical
 OK health records safe despite tornado. #healthIT http://t.co/KlckCaG3PX,"ok,health,records,safe,despite,tornado,#healthit",Medical
 OIG Releases Updated Provider Self Disclosure Protocol: The Office of Inspector General (“OIG”) of the... http://t.co/0k1YnZ3AW8 #HMENews,"oig,releases,updated,provider,self,disclosure,protocol,office,inspector,oig,#hmenews",Medical
 OIG lets State Medicaid Fraud Units use Federal Funds for Analytics: States will soon be able to use... http://t.co/vQJucJ2LdE #HMENews,"oig,medicaid,fraud,units,federal,funds,analytics,soon,able,#hmenews",Medical
 Ohr Pharmaceutical Appoints June S. Almenoff to Board of Directors http://t.co/P63NFk25rz #biotech,"ohr,pharmaceutical,appoints,june,almenoff,board,directors,#biotech",Medical
 Ohr Pharmaceutical Appoints June S. Almenoff to Board of Directors http://t.co/6p1jpwtCoB #biotech,"ohr,pharmaceutical,appoints,june,almenoff,board,directors,#biotech",Medical
" OHP \We found 101 people alive just last night. We have faith we'll find more\"" #PrayForOklahoma #hope #moore #fmrevolution place <tweepy.models.Place object at 0x01D836B0> coordinates {u'type': u'Point'","ohp,found,people,alive,night,faith,#prayforoklahoma,#hope,#moore,#fmrevolution,type",Medical
 Ohio Low Income Senior Help With #Medicare Prescriptions http://t.co/4K38qxCfNQ #Boomerhealthcare #CMS,"ohio,low,income,senior,help,#medicare,prescriptions,#boomerhealthcare,#cms",Medical
 Ohio bill would fix errors in sports safety law http://t.co/dt8MPke28a #law #concussion,"ohio,bill,fix,errors,sports,safety,law,#law,#concussion",Medical
" OH, so THIS is swell hell after #tummytuck #plasticsurgery. I look like a beach ball. http://t.co/lEjMU32WiM #bariatric #health #weightloss","oh,swell,hell,#tummytuck,#plasticsurgery,look,beach,ball,#bariatric,#health,#weightloss",Medical
" Oh, did you say legs? We love leg days! #GetFit #Fitlifestyle","oh,legs,love,leg,days,#getfit,#fitlifestyle",Medical
 Oh the drama!!!- FBI accuse MRI researchers sharing data with China http://t.co/GiSvIzVRpd #healthinnovations #policy #neuroscience #imaging,"oh,drama,fbi,accuse,mri,researchers,sharing,data,china,#healthinnovations,#policy,#neuroscience,#imaging",Medical
 Oh the drama!!!- FBI accuse MRI researchers of giving data to China http://t.co/GiSvIzVRpd #healthinnovations #policy #neuroscience #imaging,"oh,drama,fbi,accuse,mri,researchers,giving,data,china,#healthinnovations,#policy,#neuroscience,#imaging",Medical
 Oh thanks dad real helpful! #dental #culturalawareness  #project http://t.co/5uNuaIydVi,"oh,thanks,dad,real,helpful,#dental,#culturalawareness,#project",Medical
 Oh snap- Novel 'inhalable' chemotherapy developed for lung cancer http://t.co/JJMMKuB0I5 #healthinnovations #cancer #research #medical,"oh,snap,novel,inhalable,chemotherapy,developed,lung,cancer,#healthinnovations,#cancer,#research,#medical",Medical
 oh okay pcep. #Hospital #bed #empty #hallway #spooky #scary #movie #scene #asylum http://t.co/qRErRaMjRY,"oh,okay,pcep,#hospital,#bed,#empty,#hallway,#spooky,#scary,#movie,#scene,#asylum",Medical
 Oh noes! RT @gabrielmalor: POLL: 56% want to return to pre-#HCR system. Only 34% want the new law. http://t.co/edFyMXjNzX @owillis,"oh,noes,poll,return,pre,#hcr,system,law",Medical
 Oh my..... (Faint)  #doctorwho #doctor #who http://t.co/NqQnWBrznw,"oh,faint,#doctorwho,#doctor,#",Medical
 Oh my that appointment was horrible  #Dentist,"oh,appointment,horrible,#dentist",Medical
" Oh man! This girl on my bus has the worst teeth I have EVER seen. Jet black and super crowded top set, they're hardly there!! #Dentist!!","oh,girl,bus,worst,teeth,seen,jet,black,super,crowded,top,set,hardly,#dentist",Medical
 Oh I don't wanna do this. #dentist,"oh,wanna,#dentist",Medical
 Oh hey!! Just had surgery! ???? #surgery #hospital #drowsy http://t.co/g3Rq4pSZqt,"oh,hey,surgery,#surgery,#hospital,#drowsy",Medical
 Oh god. I hate getting fillings. #dentist,"oh,god,hate,getting,fillings,#dentist",Medical
 Oh geez Tornado warnings......#listeningonmyscanner #fire #police #ems,"oh,geez,tornado,warnings,#listeningonmyscanner,#fire,#police,#ems",Medical
" Oh band. “@michaellogsdon: \I got thwee fiwings today\"" #dentist @scarletanager @susanistweeting https://t.co/yq3woJ1f9Z”""","oh,band,thwee,fiwings,#dentist,https,yq3woj1f9z",Medical
