ApplNo	ProductNo	Form	Dosage	ProductMktStatus	TECode	ReferenceDrug	drugname	activeingred
019857	001	INJECTABLE; INJECTION	200MG/100ML	1	AP	1	CIPRO IN DEXTROSE 5% IN PLASTIC CONTAINER	CIPROFLOXACIN
019857	002	INJECTABLE; INJECTION	400MG/200ML	1	AP	1	CIPRO IN DEXTROSE 5% IN PLASTIC CONTAINER	CIPROFLOXACIN
019858	001	INJECTABLE; INJECTION	200MG/100ML	3		0	CIPRO IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	CIPROFLOXACIN
019860	001	TABLET; ORAL	2MG	2		1	IMODIUM A-D	LOPERAMIDE HYDROCHLORIDE
019862	001	INJECTABLE; INJECTION	2mCi/0.2ML	1		1	INDICLOR	INDIUM IN-111 CHLORIDE
019863	001	INJECTABLE; INJECTION	EQ 0.05MG BASE/AMP	3		0	GEREF	SERMORELIN ACETATE
019864	001	INJECTABLE; INJECTION	37MG/100ML;5GM/100ML;31MG/100ML;120MG/100ML;330MG/100ML;88MG/100ML	1		1	ISOLYTE R IN DEXTROSE 5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE
019865	001	TABLET; ORAL	80MG	1	AB1	0	BETAPACE	SOTALOL HYDROCHLORIDE
019865	002	TABLET; ORAL	160MG	1	AB1	1	BETAPACE	SOTALOL HYDROCHLORIDE
019865	003	TABLET; ORAL	240MG	1	AB1	0	BETAPACE	SOTALOL HYDROCHLORIDE
019865	004	TABLET; ORAL	320MG	3		0	BETAPACE	SOTALOL HYDROCHLORIDE
019865	005	TABLET; ORAL	120MG	1	AB1	0	BETAPACE	SOTALOL HYDROCHLORIDE
019867	001	INJECTABLE; INJECTION	35MG/100ML;5GM/100ML;30MG/100ML;74MG/100ML;640MG/100ML;500MG/100ML;74MG/100ML	3		0	ISOLYTE E IN DEXTROSE 5% IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM CITRATE
019869	001	LIQUID; N/A	100%	1	AP	1	STERILE WATER FOR INJECTION IN PLASTIC CONTAINER	STERILE WATER FOR INJECTION
019870	001	INJECTABLE; INJECTION	5GM/100ML;150MG/100ML;130MG/100ML;280MG/100ML;91MG/100ML	1		0	ISOLYTE M IN DEXTROSE 5% IN PLASTIC CONTAINER	DEXTROSE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE
019872	001	TABLET, EXTENDED RELEASE; ORAL	650MG	2		1	TYLENOL (CAPLET)	ACETAMINOPHEN
019872	002	TABLET, EXTENDED RELEASE; ORAL	650MG	2		1	TYLENOL (GELTAB)	ACETAMINOPHEN
019873	001	INJECTABLE; INJECTION	5GM/100ML;31MG/100ML;130MG/100ML;26MG/100ML;320MG/100ML	1		0	ISOLYTE P IN DEXTROSE 5% IN PLASTIC CONTAINER	DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE
019879	002	INJECTABLE; INJECTION	200MG/ML	3		0	ORNIDYL	EFLORNITHINE HYDROCHLORIDE
019880	001	INJECTABLE; INJECTION	50MG/VIAL	3		0	PARAPLATIN	CARBOPLATIN
019880	002	INJECTABLE; INJECTION	150MG/VIAL	3		0	PARAPLATIN	CARBOPLATIN
019880	003	INJECTABLE; INJECTION	450MG/VIAL	3		0	PARAPLATIN	CARBOPLATIN
019881	001	CREAM; VAGINAL	2%	3		0	GYNAZOLE-1	BUTOCONAZOLE NITRATE
019882	001	INJECTABLE; INJECTION	N/A	1		1	TECHNESCAN MAG3	TECHNETIUM TC-99M MERTIATIDE KIT
019884	001	INJECTABLE; INTRAVENOUS	100MG/ML	1	AP	1	MESNEX	MESNA
019885	001	TABLET; ORAL	EQ 5MG BASE	1	AB	0	ACCUPRIL	QUINAPRIL HYDROCHLORIDE
019885	002	TABLET; ORAL	EQ 10MG BASE	1	AB	0	ACCUPRIL	QUINAPRIL HYDROCHLORIDE
019885	003	TABLET; ORAL	EQ 20MG BASE	1	AB	0	ACCUPRIL	QUINAPRIL HYDROCHLORIDE
019885	004	TABLET; ORAL	EQ 40MG BASE	1	AB	1	ACCUPRIL	QUINAPRIL HYDROCHLORIDE
019886	001	SPRAY, METERED; NASAL	EQ 0.2MG BASE/SPRAY	1		1	SYNAREL	NAFARELIN ACETATE
019887	001	FOR SOLUTION; INHALATION	300MG/VIAL	1		1	NEBUPENT	PENTAMIDINE ISETHIONATE
019887	002	FOR SOLUTION; INHALATION	600MG/VIAL	3		0	NEBUPENT	PENTAMIDINE ISETHIONATE
019888	001	TABLET; ORAL	12.5MG;20MG	1	AB	1	ZESTORETIC	HYDROCHLOROTHIAZIDE; LISINOPRIL
019888	002	TABLET; ORAL	25MG;20MG	1	AB	1	ZESTORETIC	HYDROCHLOROTHIAZIDE; LISINOPRIL
019888	003	TABLET; ORAL	12.5MG;10MG	1	AB	0	ZESTORETIC	HYDROCHLOROTHIAZIDE; LISINOPRIL
019890	001	SPRAY, METERED; NASAL	1MG/SPRAY	3		0	STADOL	BUTORPHANOL TARTRATE
019891	001	SOLUTION; ORAL	5MG/5ML	1	AA	1	DILAUDID	HYDROMORPHONE HYDROCHLORIDE
019892	001	TABLET; ORAL	8MG	1	AB	1	DILAUDID	HYDROMORPHONE HYDROCHLORIDE
019892	002	TABLET; ORAL	4MG	1	AB	0	DILAUDID	HYDROMORPHONE HYDROCHLORIDE
019892	003	TABLET; ORAL	2MG	1	AB	0	DILAUDID	HYDROMORPHONE HYDROCHLORIDE
019893	001	INJECTABLE; INJECTION	70GM/100ML	1	AP	1	DEXTROSE 70% IN PLASTIC CONTAINER	DEXTROSE
019894	001	INJECTABLE; INJECTION	50GM/100ML	1	AP	1	DEXTROSE 50% IN PLASTIC CONTAINER	DEXTROSE
019897	001	IMPLANT; IMPLANTATION	36MG/IMPLANT	3		0	NORPLANT	LEVONORGESTREL
019898	002	TABLET; ORAL	10MG	1	AB	0	PRAVACHOL	PRAVASTATIN SODIUM
019898	003	TABLET; ORAL	20MG	1	AB	0	PRAVACHOL	PRAVASTATIN SODIUM
019898	004	TABLET; ORAL	40MG	1	AB	0	PRAVACHOL	PRAVASTATIN SODIUM
019898	008	TABLET; ORAL	80MG	1	AB	1	PRAVACHOL	PRAVASTATIN SODIUM
019899	001	TABLET; ORAL	200MG;30MG	2		0	SINE-AID IB	IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE
019901	001	CAPSULE; ORAL	1.25MG	1	AB	0	ALTACE	RAMIPRIL
019901	002	CAPSULE; ORAL	2.5MG	1	AB	0	ALTACE	RAMIPRIL
019901	003	CAPSULE; ORAL	5MG	1	AB	0	ALTACE	RAMIPRIL
019901	004	CAPSULE; ORAL	10MG	1	AB	1	ALTACE	RAMIPRIL
019904	001	INJECTABLE; INJECTION	14.9MG/ML	1	AP	1	POTASSIUM CHLORIDE 10MEQ IN PLASTIC CONTAINER	POTASSIUM CHLORIDE
019904	002	INJECTABLE; INJECTION	29.8MG/ML	1	AP	1	POTASSIUM CHLORIDE 20MEQ IN PLASTIC CONTAINER	POTASSIUM CHLORIDE
019904	003	INJECTABLE; INJECTION	2.24GM/100ML	1	AP	1	POTASSIUM CHLORIDE 30MEQ IN PLASTIC CONTAINER	POTASSIUM CHLORIDE
019904	004	INJECTABLE; INJECTION	2.98GM/100ML	1	AP	1	POTASSIUM CHLORIDE 40MEQ IN PLASTIC CONTAINER	POTASSIUM CHLORIDE
019904	005	INJECTABLE; INJECTION	746MG/100ML	1	AP	1	POTASSIUM CHLORIDE 10MEQ IN PLASTIC CONTAINER	POTASSIUM CHLORIDE
019904	006	INJECTABLE; INJECTION	1.49GM/100ML	1	AP	1	POTASSIUM CHLORIDE 20MEQ IN PLASTIC CONTAINER	POTASSIUM CHLORIDE
019906	001	CAPSULE; ORAL	25MG	1	AB	0	ANAFRANIL	CLOMIPRAMINE HYDROCHLORIDE
019906	002	CAPSULE; ORAL	50MG	1	AB	1	ANAFRANIL	CLOMIPRAMINE HYDROCHLORIDE
019906	003	CAPSULE; ORAL	75MG	1	AB	0	ANAFRANIL	CLOMIPRAMINE HYDROCHLORIDE
019907	001	SOLUTION/DROPS; OPHTHALMIC	0.3%	1	AT	1	OPTIPRANOLOL	METIPRANOLOL HYDROCHLORIDE
019908	001	TABLET; ORAL	5MG	1	AB	0	AMBIEN	ZOLPIDEM TARTRATE
019908	002	TABLET; ORAL	10MG	1	AB	1	AMBIEN	ZOLPIDEM TARTRATE
019909	001	SUSPENSION; ORAL	200MG/5ML	1	AB	1	ZOVIRAX	ACYCLOVIR
019910	001	SYRUP; ORAL	50MG/5ML	1	AA	1	RETROVIR	ZIDOVUDINE
019912	001	AEROSOL, METERED; INHALATION	0.9%	2		1	BRONCHO SALINE	SODIUM CHLORIDE
019915	002	TABLET; ORAL	10MG	3		0	MONOPRIL	FOSINOPRIL SODIUM
019915	003	TABLET; ORAL	20MG	3		0	MONOPRIL	FOSINOPRIL SODIUM
019915	004	TABLET; ORAL	40MG	3		0	MONOPRIL	FOSINOPRIL SODIUM
019916	001	INJECTABLE; INJECTION	1MG/ML	1	AP	1	MORPHINE SULFATE	MORPHINE SULFATE
019916	002	INJECTABLE; INJECTION	5MG/ML	1		1	MORPHINE SULFATE	MORPHINE SULFATE
019917	001	INJECTABLE; INJECTION	0.5MG/ML	3		0	MORPHINE SULFATE	MORPHINE SULFATE
019918	001	LOTION; TOPICAL	1%	2		1	NIX	PERMETHRIN
019919	001	SUPPOSITORY; RECTAL	500MG	3		0	ROWASA	MESALAMINE
019921	001	SOLUTION/DROPS; OPHTHALMIC	0.3%	1	AT	1	OCUFLOX	OFLOXACIN
019922	001	INJECTABLE; INJECTION	EQ 10MG BASE/ML	1	AP	1	CORLOPAM	FENOLDOPAM MESYLATE
019926	001	CAPSULE; ORAL	50MG	1		1	HEXALEN	ALTRETAMINE
019927	001	SHAMPOO; TOPICAL	2%	1	AB	1	NIZORAL	KETOCONAZOLE
019928	001	INJECTABLE; INJECTION	N/A	3		0	CARDIOTEC	TECHNETIUM TC-99M TEBOROXIME KIT
019931	001	LOTION; TOPICAL	10%	1	AB	1	KLARON	SULFACETAMIDE SODIUM
019933	001	SOLUTION; IRRIGATION	20MG/100ML;30MG/100ML;600MG/100ML;310MG/100ML	1	AT	1	LACTATED RINGER'S IN PLASTIC CONTAINER	CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE
019937	002	INJECTABLE; INJECTION	3MG/ML	1	AP	1	ADENOCARD	ADENOSINE
019938	001	INJECTABLE; INJECTION	100 UNITS/ML	2		1	NOVOLIN R	INSULIN RECOMBINANT HUMAN
019940	001	CREAM; TOPICAL	10%	3		0	ACTINEX	MASOPROCOL
019941	001	CREAM; TOPICAL	2.5%;2.5%	1	AB	1	EMLA	LIDOCAINE; PRILOCAINE
019942	001	INJECTABLE; INJECTION	30%	1	AP	1	INTRALIPID 30%	SOYBEAN OIL
019943	002	INJECTABLE; INJECTION	3.75MG	1		0	LUPRON	LEUPROLIDE ACETATE
019946	001	INJECTABLE; INJECTION	EQ 1MG BASE/ML	3		0	NUROMAX	DOXACURIUM CHLORIDE
019949	001	TABLET; ORAL	50MG	1	AB	0	DIFLUCAN	FLUCONAZOLE
019949	002	TABLET; ORAL	100MG	1	AB	0	DIFLUCAN	FLUCONAZOLE
019949	003	TABLET; ORAL	200MG	1	AB	1	DIFLUCAN	FLUCONAZOLE
019949	004	TABLET; ORAL	150MG	1	AB	0	DIFLUCAN	FLUCONAZOLE
019950	001	INJECTABLE; INJECTION	200MG/100ML (2MG/ML)	1	AP	1	DIFLUCAN IN SODIUM CHLORIDE 0.9%	FLUCONAZOLE
019950	002	INJECTABLE; INJECTION	200MG/100ML (2MG/ML)	1	AP	1	DIFLUCAN IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	FLUCONAZOLE
019950	003	INJECTABLE; INJECTION	200MG/100ML (2MG/ML)	1	AP	1	DIFLUCAN IN DEXTROSE 5% IN PLASTIC CONTAINER	FLUCONAZOLE
019950	004	INJECTABLE; INJECTION	400MG/200ML (2MG/ML)	1	AP	1	DIFLUCAN IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	FLUCONAZOLE
019950	005	INJECTABLE; INJECTION	400MG/200ML (2MG/ML)	1	AP	1	DIFLUCAN IN DEXTROSE 5% IN PLASTIC CONTAINER	FLUCONAZOLE
019950	006	INJECTABLE; INJECTION	400MG/200ML (2MG/ML)	1	AP	1	DIFLUCAN IN SODIUM CHLORIDE 0.9%	FLUCONAZOLE
019951	001	INJECTABLE; INJECTION	10MG/ML	1	AP	1	RETROVIR	ZIDOVUDINE
019952	001	INJECTABLE; INJECTION	4,000 UNITS/100ML	1	AP	1	HEPARIN SODIUM 20,000 UNITS IN DEXTROSE 5% IN PLASTIC CONTAINER	HEPARIN SODIUM
019952	004	INJECTABLE; INJECTION	5,000 UNITS/100ML	1	AP	1	HEPARIN SODIUM 25,000 UNITS IN DEXTROSE 5% IN PLASTIC CONTAINER	HEPARIN SODIUM
019952	005	INJECTABLE; INJECTION	10,000 UNITS/100ML	1	AP	1	HEPARIN SODIUM 25,000 UNITS IN DEXTROSE 5% IN PLASTIC CONTAINER	HEPARIN SODIUM
019953	001	INJECTABLE; INJECTION	200 UNITS/100ML	1	AP	1	HEPARIN SODIUM 1,000 UNITS IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER	HEPARIN SODIUM
019955	001	TABLET; ORAL	0.1MG	1	AB	0	DDAVP	DESMOPRESSIN ACETATE
019955	002	TABLET; ORAL	0.2MG	1	AB	1	DDAVP	DESMOPRESSIN ACETATE
019957	001	OINTMENT; TOPICAL	0.005%	1	AB	1	CUTIVATE	FLUTICASONE PROPIONATE
019958	001	CREAM; TOPICAL	0.05%	1	AB	1	CUTIVATE	FLUTICASONE PROPIONATE
019959	001	INJECTABLE; INJECTION	100 UNITS/ML	2		1	NOVOLIN N	INSULIN SUSP ISOPHANE RECOMBINANT HUMAN
019961	002	INJECTABLE; INJECTION	25MG/ML	1		1	GANITE	GALLIUM NITRATE
019962	001	TABLET, EXTENDED RELEASE; ORAL	EQ 50MG TARTRATE	1	AB	1	TOPROL-XL	METOPROLOL SUCCINATE
019962	002	TABLET, EXTENDED RELEASE; ORAL	EQ 100MG TARTRATE	1	AB	0	TOPROL-XL	METOPROLOL SUCCINATE
019962	003	TABLET, EXTENDED RELEASE; ORAL	EQ 200MG TARTRATE	1	AB	1	TOPROL-XL	METOPROLOL SUCCINATE
019962	004	TABLET, EXTENDED RELEASE; ORAL	EQ 25MG TARTRATE	1	AB	0	TOPROL-XL	METOPROLOL SUCCINATE
019963	001	CREAM; TOPICAL	0.05%	1	AB2	1	RENOVA	TRETINOIN
019964	001	CREAM; VAGINAL	0.8%	1	AB	1	TERAZOL 3	TERCONAZOLE
019965	001	INJECTABLE; INJECTION	100 UNITS/ML	3		0	NOVOLIN L	INSULIN ZINC SUSP RECOMBINANT HUMAN
019966	001	SOLUTION; TOPICAL	0.05%	1	AT	1	TEMOVATE	CLOBETASOL PROPIONATE
019967	001	CREAM; TOPICAL	0.05%	1	AB	1	ULTRAVATE	HALOBETASOL PROPIONATE
019968	001	OINTMENT; TOPICAL	0.05%	1	AB	1	ULTRAVATE	HALOBETASOL PROPIONATE
019970	001	INJECTABLE; INJECTION	10MG/100ML	1	AP	1	NITROGLYCERIN IN DEXTROSE 5%	NITROGLYCERIN
019970	002	INJECTABLE; INJECTION	20MG/100ML	1	AP	1	NITROGLYCERIN IN DEXTROSE 5%	NITROGLYCERIN
019970	003	INJECTABLE; INJECTION	40MG/100ML	1	AP	1	NITROGLYCERIN IN DEXTROSE 5%	NITROGLYCERIN
019971	001	INJECTABLE; INJECTION	5GM/100ML	3		0	DEXTROSE 5% IN PLASTIC CONTAINER	DEXTROSE
019972	001	SOLUTION/DROPS; OPHTHALMIC	1%	1	AT	1	OCUPRESS	CARTEOLOL HYDROCHLORIDE
019976	001	TABLET; ORAL	EQ 169MG CALCIUM	3		0	PHOSLO	CALCIUM ACETATE
019977	001	TABLET, EXTENDED RELEASE; ORAL	30MG	3		0	ORAMORPH SR	MORPHINE SULFATE
019977	002	TABLET, EXTENDED RELEASE; ORAL	60MG	3		0	ORAMORPH SR	MORPHINE SULFATE
019977	003	TABLET, EXTENDED RELEASE; ORAL	100MG	3		0	ORAMORPH SR	MORPHINE SULFATE
019977	004	TABLET, EXTENDED RELEASE; ORAL	15MG	3		0	ORAMORPH SR	MORPHINE SULFATE
019978	001	INJECTABLE; INJECTION	0.075%	3		0	BUPIVACAINE HYDROCHLORIDE KIT	BUPIVACAINE HYDROCHLORIDE
019978	002	INJECTABLE; INJECTION	0.114%	3		0	BUPIVACAINE HYDROCHLORIDE KIT	BUPIVACAINE HYDROCHLORIDE
019978	003	INJECTABLE; INJECTION	0.23%	3		0	BUPIVACAINE HYDROCHLORIDE KIT	BUPIVACAINE HYDROCHLORIDE
019979	001	TABLET; ORAL	125MG	3		0	TICLID	TICLOPIDINE HYDROCHLORIDE
019979	002	TABLET; ORAL	250MG	3		0	TICLID	TICLOPIDINE HYDROCHLORIDE
019981	001	INJECTABLE; INJECTION	N/A	1		0	ULTRATAG	TECHNETIUM TC-99M RED BLOOD CELL KIT
019982	001	TABLET; ORAL	10MG	1	AB	1	ZEBETA	BISOPROLOL FUMARATE
019982	002	TABLET; ORAL	5MG	1	AB	0	ZEBETA	BISOPROLOL FUMARATE
019983	001	Film, Extended Release; Transdermal	11MG/24HR	3		0	PROSTEP	NICOTINE
019983	002	Film, Extended Release; Transdermal	22MG/24HR	3		0	PROSTEP	NICOTINE
019983	003	FILM, EXTENDED RELEASE; TRANSDERMAL	11MG/24HR	3		0	PROSTEP	NICOTINE
019983	004	FILM, EXTENDED RELEASE; TRANSDERMAL	22MG/24HR	3		0	PROSTEP	NICOTINE
019991	001	INJECTABLE; INJECTION	30 UNITS/ML;70 UNITS/ML	2		1	NOVOLIN 70/30	INSULIN RECOMBINANT HUMAN; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN
019992	001	SOLUTION/DROPS; OPHTHALMIC	EQ 0.3% BASE	1	AT	1	CILOXAN	CIPROFLOXACIN HYDROCHLORIDE
019998	002	CAPSULE; ORAL	100MG	1		1	CHEMET	SUCCIMER
019999	001	INJECTABLE; INJECTION	15MG/ML	1		1	MORPHINE SULFATE	MORPHINE SULFATE
020000	001	INJECTABLE; INJECTION	33MG/100ML;5GM/100ML;30MG/100ML;860MG/100ML	1	AP	0	DEXTROSE 5% IN RINGER'S IN PLASTIC CONTAINER	CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
020001	001	SHAMPOO; TOPICAL	0.01%	1		1	CAPEX	FLUOCINOLONE ACETONIDE
020002	001	INJECTABLE; INJECTION	33MG/100ML;30MG/100ML;860MG/100ML	1	AP	0	RINGER'S IN PLASTIC CONTAINER	CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE
020004	001	INJECTABLE; INJECTION	1.87GM/100ML	1	AP	0	SODIUM LACTATE 1/6 MOLAR IN PLASTIC CONTAINER	SODIUM LACTATE
020005	001	CAPSULE, EXTENDED RELEASE; ORAL	30MG	1		1	CARDENE SR	NICARDIPINE HYDROCHLORIDE
020005	002	CAPSULE, EXTENDED RELEASE; ORAL	45MG	3		0	CARDENE SR	NICARDIPINE HYDROCHLORIDE
020005	003	CAPSULE, EXTENDED RELEASE; ORAL	60MG	1		1	CARDENE SR	NICARDIPINE HYDROCHLORIDE
020006	001	INJECTABLE; INJECTION	5GM/100ML	1	AP	0	MANNITOL 5% IN PLASTIC CONTAINER	MANNITOL
020006	002	INJECTABLE; INJECTION	10GM/100ML	1	AP	0	MANNITOL 10% IN PLASTIC CONTAINER	MANNITOL
020006	003	INJECTABLE; INJECTION	15GM/100ML	1	AP	0	MANNITOL 15% IN PLASTIC CONTAINER	MANNITOL
020006	004	INJECTABLE; INJECTION	20GM/100ML	1	AP	0	MANNITOL 20% IN PLASTIC CONTAINER	MANNITOL
020007	001	INJECTABLE; INJECTION	EQ 2MG BASE/ML	1	AP	1	ZOFRAN	ONDANSETRON HYDROCHLORIDE
020007	003	INJECTABLE; INJECTION	EQ 2MG BASE/ML	1	AP	1	ZOFRAN PRESERVATIVE FREE	ONDANSETRON HYDROCHLORIDE
020010	001	LOTION; TOPICAL	EQ 0.05% BASE;1%	1	AB	1	LOTRISONE	BETAMETHASONE DIPROPIONATE; CLOTRIMAZOLE
020011	001	INJECTABLE; INJECTION	3.75MG/VIAL	1		1	LUPRON DEPOT	LEUPROLIDE ACETATE
020013	001	TABLET; ORAL	EQ 400MG BASE	3		0	MAXAQUIN	LOMEFLOXACIN HYDROCHLORIDE
020014	001	AEROSOL, METERED; INHALATION	EQ 0.2MG BASE/INH	1		1	MAXAIR	PIRBUTEROL ACETATE
020015	001	INJECTABLE; INJECTION	10% (10GM/100ML)	1		0	AMINOSYN II 10% IN PLASTIC CONTAINER	AMINO ACIDS
020021	002	TABLET, EXTENDED RELEASE; ORAL	240MG	2		1	SUDAFED 24 HOUR	PSEUDOEPHEDRINE HYDROCHLORIDE
020027	001	INJECTABLE; INJECTION	5MG/ML	3		0	CARDIZEM	DILTIAZEM HYDROCHLORIDE
020027	003	INJECTABLE; INJECTION	25MG/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	3		0	CARDIZEM	DILTIAZEM HYDROCHLORIDE
020031	001	TABLET; ORAL	EQ 10MG BASE	1	AB	0	PAXIL	PAROXETINE HYDROCHLORIDE
020031	002	TABLET; ORAL	EQ 20MG BASE	1	AB	0	PAXIL	PAROXETINE HYDROCHLORIDE
020031	003	TABLET; ORAL	EQ 30MG BASE	1	AB	0	PAXIL	PAROXETINE HYDROCHLORIDE
020031	004	TABLET; ORAL	EQ 50MG BASE	3		0	PAXIL	PAROXETINE HYDROCHLORIDE
020031	005	TABLET; ORAL	EQ 40MG BASE	1	AB	1	PAXIL	PAROXETINE HYDROCHLORIDE
020032	001	SUSPENSION; INTRATRACHEAL	25MG/ML	1		1	SURVANTA	BERACTANT
020033	001	TABLET; ORAL	5MG;6.25MG	1	AB	0	LOTENSIN HCT	BENAZEPRIL HYDROCHLORIDE; HYDROCHLOROTHIAZIDE
020033	002	TABLET; ORAL	10MG;12.5MG	1	AB	0	LOTENSIN HCT	BENAZEPRIL HYDROCHLORIDE; HYDROCHLOROTHIAZIDE
020033	003	TABLET; ORAL	20MG;25MG	1	AB	1	LOTENSIN HCT	BENAZEPRIL HYDROCHLORIDE; HYDROCHLOROTHIAZIDE
020033	004	TABLET; ORAL	20MG;12.5MG	1	AB	0	LOTENSIN HCT	BENAZEPRIL HYDROCHLORIDE; HYDROCHLOROTHIAZIDE
020035	001	TABLET; ORAL	EQ 50MG BASE	3		0	ERGAMISOL	LEVAMISOLE HYDROCHLORIDE
020036	001	INJECTABLE; INJECTION	30MG/VIAL	3		0	AREDIA	PAMIDRONATE DISODIUM
020036	003	INJECTABLE; INJECTION	60MG/VIAL	3		0	AREDIA	PAMIDRONATE DISODIUM
020036	004	INJECTABLE; INJECTION	90MG/VIAL	3		0	AREDIA	PAMIDRONATE DISODIUM
020037	001	SOLUTION/DROPS; OPHTHALMIC	0.1%	1	AT	1	VOLTAREN	DICLOFENAC SODIUM
020038	001	INJECTABLE; INJECTION	50MG/VIAL	3		0	FLUDARA	FLUDARABINE PHOSPHATE
020041	001	INJECTABLE; INJECTION	15% (15GM/100ML)	1		0	AMINOSYN II 15% IN PLASTIC CONTAINER	AMINO ACIDS
020044	001	FOR SUSPENSION; INTRATRACHEAL	12MG/VIAL;108MG/VIAL;8MG/VIAL	3		0	EXOSURF NEONATAL	CETYL ALCOHOL; COLFOSCERIL PALMITATE; TYLOXAPOL
020045	001	LOTION; TOPICAL	3%;7.5%;3%	2		1	SHADE UVAGUARD	AVOBENZONE; OCTINOXATE; OXYBENZONE
020047	001	INJECTABLE; INJECTION	50GM/100ML	1	AP	1	DEXTROSE 50% IN PLASTIC CONTAINER	DEXTROSE
020047	002	INJECTABLE; INJECTION	60GM/100ML	3		0	DEXTROSE 60% IN PLASTIC CONTAINER	DEXTROSE
020047	003	INJECTABLE; INJECTION	70GM/100ML	1	AP	1	DEXTROSE 70% IN PLASTIC CONTAINER	DEXTROSE
020049	001	CAPSULE, EXTENDED RELEASE; ORAL	250MG	1		0	PENTASA	MESALAMINE
020049	002	CAPSULE, EXTENDED RELEASE; ORAL	500MG	1		1	PENTASA	MESALAMINE
020051	001	TABLET; ORAL	1.5MG	1	AB	0	GLYNASE	GLYBURIDE
020051	002	TABLET; ORAL	3MG	1	AB	0	GLYNASE	GLYBURIDE
020051	003	TABLET; ORAL	4.5MG	3		0	GLYNASE	GLYBURIDE
020051	004	TABLET; ORAL	6MG	1	AB	1	GLYNASE	GLYBURIDE
020055	001	TABLET; ORAL	1.5MG	3		0	GLYBURIDE (MICRONIZED)	GLYBURIDE
020055	002	TABLET; ORAL	3MG	3		0	GLYBURIDE (MICRONIZED)	GLYBURIDE
020055	003	TABLET; ORAL	6MG	3		0	GLYBURIDE (MICRONIZED)	GLYBURIDE
020056	001	AEROSOL, METERED; INHALATION	EQ 0.36MG BASE/INH	3		0	ATROPINE SULFATE	ATROPINE SULFATE
020057	003	INJECTABLE; INJECTION	80 UNITS/ML	3		0	CEREDASE	ALGLUCERASE
020057	004	INJECTABLE; INJECTION	10 UNITS/ML	3		0	CEREDASE	ALGLUCERASE
020058	001	INJECTABLE; INJECTION	15MG/VIAL	3		0	THIOPLEX	THIOTEPA
020059	001	INJECTABLE; INJECTION	3MG/ML	1		1	ADENOSCAN	ADENOSINE
020062	001	CAPSULE, EXTENDED RELEASE; ORAL	120MG	1	AB3	0	CARDIZEM CD	DILTIAZEM HYDROCHLORIDE
020062	002	CAPSULE, EXTENDED RELEASE; ORAL	180MG	1	AB3	0	CARDIZEM CD	DILTIAZEM HYDROCHLORIDE
020062	003	CAPSULE, EXTENDED RELEASE; ORAL	240MG	1	AB3	0	CARDIZEM CD	DILTIAZEM HYDROCHLORIDE
020062	004	CAPSULE, EXTENDED RELEASE; ORAL	300MG	1	AB3	0	CARDIZEM CD	DILTIAZEM HYDROCHLORIDE
020062	005	CAPSULE, EXTENDED RELEASE; ORAL	360MG	1	AB3	1	CARDIZEM CD	DILTIAZEM HYDROCHLORIDE
020063	001	INJECTABLE; INJECTION	N/A	3		0	RBC-SCAN	TECHNETIUM TC-99M RED BLOOD CELL KIT
020064	001	CAPSULE; ORAL	75MG;25MG	1	AB	1	MACROBID	NITROFURANTOIN; NITROFURANTOIN, MACROCRYSTALLINE
020065	001	SOLUTION/DROPS; OPHTHALMIC	0.02675%;0.315%	2		1	OPCON-A	NAPHAZOLINE HYDROCHLORIDE; PHENIRAMINE MALEATE
020066	002	GUM, CHEWING; BUCCAL	EQ 4MG BASE	2		1	NICORETTE	NICOTINE POLACRILEX
020066	003	GUM, CHEWING; BUCCAL	EQ 4MG BASE	2		0	NICORETTE (MINT)	NICOTINE POLACRILEX
020066	004	GUM, CHEWING; BUCCAL	EQ 4MG BASE	2		0	NICORETTE	NICOTINE POLACRILEX
020067	002	TABLET, DELAYED RELEASE; ORAL	375MG	1	AB	1	EC-NAPROSYN	NAPROXEN
